level,scene,Full,-Weight,-Conflict,-Adapt
0,v,1.0,1.0,0.9970238095238095,0.9583333333333334
0,m,1.0,1.0,0.9970238095238095,0.9632936507936508
0,u,1.0,1.0,0.9970238095238095,0.9563492063492064
0,vm,1.0,1.0,0.9970238095238095,0.941468253968254
0,vu,1.0,1.0,0.9970238095238095,0.939484126984127
0,mu,1.0,1.0,0.9970238095238095,0.9642857142857143
0,vmu,1.0,1.0,0.9970238095238095,0.9623015873015873
1,v,0.998015873015873,0.998015873015873,0.998015873015873,0.751984126984127
1,m,1.0,1.0,0.996031746031746,0.9523809523809523
1,u,1.0,1.0,0.996031746031746,0.9553571428571429
1,vm,0.9920634920634921,0.998015873015873,0.9880952380952381,0.7430555555555556
1,vu,0.998015873015873,0.9930555555555556,0.9990079365079365,0.7400793650793651
1,mu,1.0,1.0,0.996031746031746,0.9543650793650794
1,vmu,0.9950396825396826,0.9990079365079365,0.9930555555555556,0.7400793650793651
2,v,0.9990079365079365,0.9970238095238095,0.9990079365079365,0.6825396825396826
2,m,0.9920634920634921,0.9920634920634921,0.9950396825396826,0.691468253968254
2,u,0.996031746031746,1.0,0.9880952380952381,0.9384920634920635
2,vm,0.9871031746031746,0.9821428571428571,0.9841269841269841,0.42063492063492064
2,vu,0.9861111111111112,0.9890873015873016,0.9801587301587301,0.628968253968254
2,mu,0.9890873015873016,0.9920634920634921,0.9871031746031746,0.6775793650793651
2,vmu,0.7827380952380952,0.9801587301587301,0.9682539682539683,0.3958333333333333
3,v,0.9990079365079365,0.9970238095238095,0.9990079365079365,0.5912698412698413
3,m,0.9920634920634921,0.9920634920634921,0.9851190476190477,0.691468253968254
3,u,0.9950396825396826,0.9821428571428571,0.9771825396825397,0.10912698412698413
3,vm,0.9851190476190477,0.9682539682539683,0.7341269841269841,0.34424603174603174
3,vu,0.9791666666666666,0.6418650793650794,0.4226190476190476,0.09027777777777778
3,mu,0.9533730158730159,0.876984126984127,0.9761904761904762,0.005952380952380952
3,vmu,0.7123015873015873,0.5317460317460317,0.32043650793650796,0.002976190476190476
4,v,0.996031746031746,0.9940476190476191,0.9940476190476191,0.5287698412698413
4,m,0.9920634920634921,0.9920634920634921,0.9900793650793651,0.6884920634920635
4,u,0.9950396825396826,0.9751984126984127,0.9424603174603174,0.0
4,vm,0.9871031746031746,0.9503968253968254,0.7400793650793651,0.2916666666666667
4,vu,0.9732142857142857,0.5317460317460317,0.11210317460317461,0.0
4,mu,0.9831349206349206,0.7003968253968254,0.9474206349206349,0.0
4,vmu,0.6607142857142857,0.30357142857142855,0.10714285714285714,0.0
