channel,failure,severity,accuracy,f1
cv,non,0,0.988,0.9869565217391304
cv,gamma,1,0.9804,0.9791843670348344
cv,gamma,2,0.966,0.9630595393307257
cv,gamma,3,0.8744,0.8440913604766633
cv,gamma,4,0.6754,0.5586075605112863
cv,noise,1,0.9234,0.9105349217472554
cv,noise,2,0.8134,0.7484497169048261
cv,noise,3,0.6476,0.3826208829712684
cv,noise,4,0.557,0.07823553890969621
cv,oil_dirt,1,0.9566,0.9538199616939774
cv,oil_dirt,2,0.9504,0.9456140350877194
cv,oil_dirt,3,0.947,0.9422532142078884
cv,oil_dirt,4,0.9366,0.9339720891480942
us,none,0,1.0,0.0
us,multipath,1,0.999,0.999000999000999
us,multipath,2,0.9674,0.968429207824908
us,multipath,3,0.831,0.8554319931565441
us,multipath,4,0.6598,0.7461572899567229
us,condensation,1,1.0,1.0
us,condensation,2,1.0,1.0
us,condensation,3,1.0,1.0
us,condensation,4,1.0,1.0
us,packet_loss,1,1.0,1.0
us,packet_loss,2,1.0,1.0
us,packet_loss,3,0.9998,0.9997999599919984
us,packet_loss,4,0.9992,0.9991993594875901
mag,none,0,0.9945,0.9945300845350572
mag,em,1,0.922,0.9276437847866419
mag,em,2,0.8125,0.8421052631578947
mag,em,3,0.676,0.7552870090634441
mag,em,4,0.6025,0.7155635062611807
mag,crosstalk,1,0.997,0.9970089730807578
mag,crosstalk,2,0.995,0.9950248756218906
mag,crosstalk,3,0.997,0.9970089730807578
mag,crosstalk,4,0.998,0.998003992015968
mag,crosstalk,5,0.9965,0.9965122072745392
mag,crosstalk,6,0.995,0.9950248756218906
mag,drift,1,0.9535,0.952863659401926
mag,drift,2,0.7325,0.7884539343614076
mag,drift,3,0.5205,0.6759040216289287
mag,drift,4,0.5,0.6666666666666666
