win_idx,label,acc_v,acc_m,acc_u,acc_fused,P_v,P_m,P_u,brightness,multipath_p,emi,w_v,w_m,w_u
0,0,1.0,0.0,1.0,1.0,5.0128002e-17,0.7844078648152788,0.017931408545580833,0.472991239048811,0.0,20,0.9836150049567277,0.0066928509242848554,0.9890130573694068
1,0,1.0,0.0,1.0,1.0,0.00042936762,0.7844078757712789,0.01798717809095083,0.7343932167461579,0.0,20,0.9996699374474312,0.0066928509242848554,0.9890130573694068
2,0,1.0,0.0,1.0,1.0,1.6319114e-05,0.7844078762852722,0.018020597910476752,0.5560317037825688,0.0,20,0.9952292783423453,0.0066928509242848554,0.9890130573694068
3,0,1.0,0.0,1.0,1.0,0.47118104,0.7844078762783582,0.017997658258503905,0.5650567877424193,0.0,20,0.9958307942845372,0.0066928509242848554,0.9890130573694068
4,0,1.0,0.0,1.0,1.0,1.5666826e-13,0.7844078762839953,0.017963343694945854,0.3502101817646006,0.0,20,0.9049221360849063,0.0066928509242848554,0.9890130573694068
5,0,1.0,0.0,1.0,1.0,5.304958e-07,0.7844078762109734,0.017924554377558813,0.5149133556931544,0.0,20,0.9911959494234546,0.0066928509242848554,0.9890130573694068
6,0,1.0,0.0,1.0,1.0,1.3533453e-12,0.7844078762854646,0.01797889242178529,0.673453240945501,0.0,20,0.9991770555836388,0.0066928509242848554,0.9890130573694068
7,0,1.0,0.0,1.0,1.0,1.1514569e-06,0.7843861701004506,0.017999043083354278,0.7697336293007769,0.0,20,0.9998057177852178,0.0066928509242848554,0.9890130573694068
8,0,1.0,0.0,1.0,1.0,2.8957786e-10,0.784407876285402,0.017979332235081153,0.47668504901960784,0.0,20,0.9844844557890989,0.0066928509242848554,0.9890130573694068
9,0,1.0,0.0,1.0,1.0,1.1934823e-09,0.784407876285436,0.017934898116321377,0.5316325014854426,0.0,20,0.9931353883012218,0.0066928509242848554,0.9890130573694068
10,0,1.0,0.0,1.0,1.0,6.8180616e-14,0.7844078732890211,0.018024853793874734,0.33882466076946466,0.0,20,0.8891777814033919,0.0066928509242848554,0.9890130573694068
11,0,1.0,0.0,1.0,1.0,1.1586832e-10,0.7844078762812245,0.01794153005452479,0.5884112486188611,0.0,20,0.9970593179760735,0.0066928509242848554,0.9890130573694068
12,0,1.0,0.0,1.0,1.0,1.3889149e-13,0.7844078762854647,0.017984105478256816,0.33007862082030875,0.0,20,0.8755751768867807,0.0066928509242848554,0.9890130573694068
13,0,1.0,0.0,1.0,1.0,2.0276866e-06,0.7844078762854555,0.017977887353838273,0.7197594013450791,0.0,20,0.9995889526535902,0.0066928509242848554,0.9890130573694068
14,0,1.0,0.0,1.0,1.0,1.0844609e-08,0.784407876285417,0.01800379675784031,0.6626667099152869,0.0,20,0.9990326676688622,0.0066928509242848554,0.9890130573694068
15,0,1.0,0.0,1.0,1.0,7.660099e-06,0.7844078762852931,0.017967707019537614,0.5985256117951057,0.0,20,0.9974722233417367,0.0066928509242848554,0.9890130573694068
16,0,1.0,0.0,1.0,1.0,1.082238e-11,0.7844078762815511,0.018027329601493898,0.7068883723702247,0.0,20,0.9995014587636409,0.0066928509242848554,0.9890130573694068
17,0,1.0,0.0,1.0,1.0,9.976099e-06,0.7844078762854648,0.017953857702985413,0.39298388946221763,0.0,20,0.9475867139621446,0.0066928509242848554,0.9890130573694068
18,0,1.0,0.0,1.0,1.0,8.267703e-14,0.7844078762854647,0.01799076212971997,0.6812643081924128,0.0,20,0.9992679757493127,0.0066928509242848554,0.9890130573694068
