win_idx,label,acc_v,acc_m,acc_u,acc_fused,P_v,P_m,P_u,brightness,multipath_p,emi,w_v,w_m,w_u
0,0,1.0,0.0,0.5666666666666667,1.0,5.0128002e-17,0.8998945547350142,0.3740850980089475,0.472991239048811,0.5,0,0.9836150049567277,0.9933071490757153,0.3775406687981454
1,0,1.0,0.0,0.7166666666666667,1.0,0.00042936762,0.9965753752140145,0.28901212836331297,0.7343932167461579,0.5,0,0.9996699374474312,0.9933071490757153,0.3775406687981454
2,0,1.0,0.0,0.6,1.0,1.6319114e-05,0.9999999999980892,0.37142470870721495,0.5560317037825688,0.5,0,0.9952292783423453,0.9933071490757153,0.3775406687981454
3,0,1.0,0.21666666666666667,0.65,0.0,0.47118104,0.7954370187633272,0.3333545551126322,0.5650567877424193,0.5,0,0.9958307942845372,0.9933071490757153,0.3775406687981454
4,0,1.0,1.0,0.6666666666666666,1.0,1.5666826e-13,0.04899421507604752,0.3103758471305671,0.3502101817646006,0.5,0,0.9049221360849063,0.9933071490757153,0.3775406687981454
5,0,1.0,1.0,0.7166666666666667,1.0,5.304958e-07,0.00994491206116259,0.2959391075647055,0.5149133556931544,0.5,0,0.9911959494234546,0.9933071490757153,0.3775406687981454
6,0,1.0,1.0,0.55,1.0,1.3533453e-12,0.004636614793913556,0.35103098668596844,0.673453240945501,0.5,0,0.9991770555836388,0.9933071490757153,0.3775406687981454
7,0,1.0,1.0,0.5666666666666667,1.0,1.1514569e-06,0.0037724439659995923,0.3666900992652311,0.7697336293007769,0.5,0,0.9998057177852178,0.9933071490757153,0.3775406687981454
8,0,1.0,1.0,0.5,1.0,2.8957786e-10,0.0038766244303742575,0.3901041883148979,0.47668504901960784,0.5,0,0.9844844557890989,0.9933071490757153,0.3775406687981454
9,0,1.0,1.0,0.6,1.0,1.1934823e-09,0.005259897718037811,0.36242219661171293,0.5316325014854426,0.5,0,0.9931353883012218,0.9933071490757153,0.3775406687981454
10,0,1.0,1.0,0.6166666666666667,1.0,6.8180616e-14,0.004369202409883796,0.3705925220900164,0.33882466076946466,0.5,0,0.8891777814033919,0.9933071490757153,0.3775406687981454
11,0,1.0,1.0,0.6,1.0,1.1586832e-10,0.00404836093739255,0.33129484361320505,0.5884112486188611,0.5,0,0.9970593179760735,0.9933071490757153,0.3775406687981454
12,0,1.0,1.0,0.7166666666666667,1.0,1.3889149e-13,0.0060602368901151536,0.30204196531724803,0.33007862082030875,0.5,0,0.8755751768867807,0.9933071490757153,0.3775406687981454
13,0,1.0,1.0,0.5,1.0,2.0276866e-06,0.0053448560358522424,0.3814375969853271,0.7197594013450791,0.5,0,0.9995889526535902,0.9933071490757153,0.3775406687981454
14,0,1.0,1.0,0.5333333333333333,1.0,1.0844609e-08,0.00377432365521732,0.3832128654919175,0.6626667099152869,0.5,0,0.9990326676688622,0.9933071490757153,0.3775406687981454
15,0,1.0,1.0,0.65,1.0,7.660099e-06,0.004526577747687815,0.3540169841174437,0.5985256117951057,0.5,0,0.9974722233417367,0.9933071490757153,0.3775406687981454
16,0,1.0,1.0,0.8,1.0,1.082238e-11,0.0032693703080509382,0.22813417816508158,0.7068883723702247,0.5,0,0.9995014587636409,0.9933071490757153,0.3775406687981454
17,0,1.0,1.0,0.5666666666666667,1.0,9.976099e-06,0.004048478421273932,0.3592959088915379,0.39298388946221763,0.5,0,0.9475867139621446,0.9933071490757153,0.3775406687981454
18,0,1.0,1.0,0.6166666666666667,1.0,8.267703e-14,0.003298023982378141,0.3438951331865263,0.6812643081924128,0.5,0,0.9992679757493127,0.9933071490757153,0.3775406687981454
19,0,1.0,1.0,0.5833333333333334,1.0,1.0540571e-15,0.00435759000964884,0.3876786909314633,0.4100180781532471,0.5,0,0.9589194054137641,0.9933071490757153,0.3775406687981454
20,0,1.0,1.0,0.6833333333333333,1.0,0.00054043124,0.0030730702943107336,0.3027037703735319,0.43718395252837977,0.5,0,0.9722872661273539,0.9933071490757153,0.3775406687981454
21,0,1.0,1.0,0.5666666666666667,1.0,2.6840419e-11,0.004806173759825103,0.34544821076692356,0.36602447180422554,0.5,0,0.9234637511198427,0.9933071490757153,0.3775406687981454
22,0,1.0,1.0,0.65,1.0,3.1691798e-07,0.003567020908787875,0.32637034451781377,0.5224870335230866,0.5,0,0.9921339765723572,0.9933071490757153,0.3775406687981454
23,0,1.0,1.0,0.6666666666666666,1.0,0.01930715,0.004489673922503,0.34909380825404246,0.48017834523990477,0.5,0,0.9852648570601449,0.9933071490757153,0.3775406687981454
24,0,1.0,1.0,0.5166666666666667,1.0,1.0338325e-13,0.004042330597483467,0.3587259790154484,0.6507326242043658,0.5,0,0.9988432567619593,0.9933071490757153,0.3775406687981454
25,0,1.0,1.0,0.5666666666666667,1.0,8.649128e-09,0.004328244939429461,0.3742308685647958,0.6363720612623158,0.5,0,0.9985656110476121,0.9933071490757153,0.3775406687981454
26,0,1.0,1.0,0.6833333333333333,1.0,4.183207e-11,0.003302753457018563,0.27462038757024526,0.6514026292335116,0.5,0,0.9988548106495583,0.9933071490757153,0.3775406687981454
27,0,1.0,1.0,0.6333333333333333,1.0,1.0084135e-09,0.005798101084316507,0.3423330705292206,0.6577132951563839,0.5,0,0.9989581338893614,0.9933071490757153,0.3775406687981454
28,0,1.0,1.0,0.65,1.0,0.022972692,0.0035855559152852055,0.3344726322124588,0.7064496111482088,0.5,0,0.999498168486304,0.9933071490757153,0.3775406687981454
29,0,1.0,1.0,0.6333333333333333,1.0,1.0084135e-09,0.0037287675492776095,0.34755762334415613,0.6577132951563839,0.5,0,0.9989581338893614,0.9933071490757153,0.3775406687981454
30,0,1.0,1.0,0.6666666666666666,1.0,0.00032671785,0.0036246334932365717,0.32001987128731335,0.6671687462863933,0.5,0,0.999095778156155,0.9933071490757153,0.3775406687981454
31,0,1.0,1.0,0.65,1.0,3.0423872e-11,0.003503653238320574,0.32137783993556324,0.5627621591272167,0.5,0,0.9956854243282073,0.9933071490757153,0.3775406687981454
32,0,1.0,1.0,0.65,1.0,6.290681e-15,0.004315571370164177,0.3283089515754076,0.39699554999304687,0.5,0,0.9504961303695368,0.9933071490757153,0.3775406687981454
