win_idx,label,acc_v,acc_m,acc_u,acc_fused,P_v,P_m,P_u,brightness,multipath_p,emi,w_v,w_m,w_u
0,0,1.0,0.48333333333333334,1.0,1.0,1.5988724e-09,0.5414378953079109,0.017931408545580833,0.2887060214156585,0.0,0,0.7909382640760448,0.9933071490757153,0.9890130573694068
1,0,1.0,1.0,1.0,1.0,1.2381916e-05,0.011975336804578657,0.01798717809095083,0.6071599016763523,0.0,0,0.9977786105168441,0.9933071490757153,0.9890130573694068
2,0,1.0,1.0,1.0,1.0,9.548837e-05,0.0051801840259619834,0.018020597910476752,0.38585948205325366,0.0,0,0.9420180254352948,0.9933071490757153,0.9890130573694068
3,0,1.0,1.0,1.0,1.0,0.0018396842,0.0030136456776387187,0.017997658258503905,0.39803184935176256,0.0,0,0.9512224481179163,0.9933071490757153,0.9890130573694068
4,0,1.0,1.0,1.0,1.0,8.87248e-12,0.004735606268645213,0.017963343694945854,0.17407849452180227,0.0,0,0.4040007721779678,0.9933071490757153,0.9890130573694068
5,0,1.0,1.0,1.0,1.0,2.3991225e-07,0.0037283848850107747,0.017924554377558813,0.3396435328517372,0.0,0,0.8903823907249706,0.9933071490757153,0.9890130573694068
6,0,1.0,1.0,1.0,1.0,1.9561593e-10,0.004533908460613644,0.01797889242178529,0.5176241256736612,0.0,0,0.9915437887876645,0.9933071490757153,0.9890130573694068
7,0,1.0,1.0,1.0,1.0,6.167387e-06,0.003258291713495201,0.017999043083354278,0.6454199038105809,0.0,0,0.9987474225864668,0.9933071490757153,0.9890130573694068
8,0,1.0,1.0,1.0,1.0,1.2405466e-10,0.004040957920434822,0.017979332235081153,0.300744578134284,0.0,0,0.8192343394005873,0.9933071490757153,0.9890130573694068
9,0,1.0,1.0,1.0,1.0,3.3794407e-08,0.004741962202250528,0.017934898116321377,0.3576964497920381,0.0,0,0.9141542113235054,0.9933071490757153,0.9890130573694068
