win_idx,label,acc_v,acc_m,acc_u,acc_fused,P_v,P_m,P_u,brightness,multipath_p,emi,w_v,w_m,w_u
0,0,1.0,0.0,0.7666666666666667,1.0,1.9109142e-10,0.7844078762854648,0.26708939171711227,0.28993116395494367,0.5,20,0.7939607691673538,0.0066928509242848554,0.3775406687981454
1,0,1.0,0.0,0.75,1.0,0.037053745,0.7844078738364854,0.24586552627297975,0.6090335599807185,0.5,20,0.997840040258232,0.0066928509242848554,0.3775406687981454
2,0,1.0,0.0,0.7333333333333333,1.0,0.014951214,0.7844078538511724,0.3005730900937554,0.3858328650716194,0.5,20,0.9419962142673174,0.0066928509242848554,0.3775406687981454
3,0,1.0,0.0,0.8333333333333334,1.0,0.000245865,0.7844078762681944,0.2164010338562525,0.39791800600021426,0.5,20,0.9511431549657974,0.0066928509242848554,0.3775406687981454
4,0,1.0,0.0,0.8333333333333334,0.0,2.2709033e-10,0.7844078762847544,0.22622240018395395,0.174392135812994,0.5,20,0.405134079701819,0.0066928509242848554,0.3775406687981454
5,0,1.0,0.0,0.8166666666666667,1.0,1.1069822e-05,0.7844078762853518,0.23444253233268542,0.34016597867217063,0.5,20,0.8911449271249529,0.0066928509242848554,0.3775406687981454
6,0,1.0,0.0,0.8333333333333334,1.0,0.0021157477,0.7844078762348493,0.27711935944719684,0.5178067718315397,0.5,20,0.9915667293884433,0.0066928509242848554,0.3775406687981454
7,0,1.0,0.0,0.7833333333333333,1.0,3.942957e-07,0.784407550650073,0.26803860569996657,0.646174620791713,0.5,20,0.9987615052823484,0.0066928509242848554,0.3775406687981454
8,0,1.0,0.0,0.8166666666666667,1.0,6.170527e-11,0.7844078740530096,0.2557860818107289,0.2975638740344623,0.5,20,0.8120610140588329,0.0066928509242848554,0.3775406687981454
9,0,1.0,0.0,0.7,1.0,4.6650918e-08,0.7844078762822034,0.3063785461092417,0.3552872474747475,0.5,20,0.9112754602834197,0.0066928509242848554,0.3775406687981454
10,0,1.0,0.0,0.8333333333333334,0.0,6.055846e-10,0.7844078154808581,0.1991827346985318,0.16549783274290605,0.5,20,0.3734293964265876,0.0066928509242848554,0.3775406687981454
11,0,1.0,0.0,0.7833333333333333,1.0,2.8773584e-05,0.7844078249143939,0.23413880747335014,0.42536792848211535,0.5,20,0.9670901250067245,0.0066928509242848554,0.3775406687981454
12,0,1.0,0.0,0.8166666666666667,0.0,1.2818459e-10,0.784407876278396,0.23921502816679366,0.15889362508288338,0.5,20,0.3505561190696382,0.0066928509242848554,0.3775406687981454
13,0,1.0,0.0,0.8333333333333334,1.0,0.0005666674,0.7844078762848452,0.25322304187420125,0.5852412301474536,0.5,20,0.9969165514965013,0.0066928509242848554,0.3775406687981454
14,0,1.0,0.0,0.8666666666666667,1.0,0.0043734075,0.784407876258749,0.24436741321525807,0.5171864610194782,0.5,20,0.991488565455251,0.0066928509242848554,0.3775406687981454
15,0,1.0,0.0,0.85,1.0,1.2350335e-05,0.7844078760709325,0.22751369658448023,0.43258378932968533,0.5,20,0.9703661688196371,0.0066928509242848554,0.3775406687981454
16,0,1.0,0.0,0.8,1.0,2.056502e-07,0.7844078760633806,0.2406878226190315,0.5622806285634822,0.5,20,0.9956542834279629,0.0066928509242848554,0.3775406687981454
17,0,1.0,0.0,0.7833333333333333,1.0,1.0093077e-10,0.7844078762842469,0.2353722916752642,0.21490583075335395,0.5,20,0.5556651602546965,0.0066928509242848554,0.3775406687981454
18,0,1.0,0.0,0.8666666666666667,1.0,4.4999424e-06,0.7844078762407797,0.2272441790109823,0.5397517031503959,0.5,20,0.9939177245120103,0.0066928509242848554,0.3775406687981454
19,0,1.0,0.0,0.8333333333333334,1.0,9.175839e-11,0.7844078762854374,0.21920146870808346,0.22440193098516,0.5,20,0.5904990889652808,0.0066928509242848554,0.3775406687981454
20,0,1.0,0.0,0.9166666666666666,1.0,2.2576057e-06,0.7844078762704509,0.23061871457817196,0.2543838149294806,0.5,20,0.6933349750487061,0.0066928509242848554,0.3775406687981454
21,0,1.0,0.0,0.75,0.0,1.2630679e-07,0.7844078762851471,0.26704938223312885,0.19263375892992857,0.5,20,0.4724046658591264,0.0066928509242848554,0.3775406687981454
22,0,1.0,0.0,0.8,1.0,1.6947472e-06,0.7844075865576285,0.28949887250127454,0.34877503689647904,0.5,20,0.9030537656886217,0.0066928509242848554,0.3775406687981454
23,0,1.0,0.0,0.75,1.0,0.0030077584,0.7844078614069342,0.2686952195291106,0.30776004458631,0.5,20,0.834298139692836,0.0066928509242848554,0.3775406687981454
24,0,1.0,0.0,0.8666666666666667,1.0,0.00025607282,0.7844077028989429,0.2153913676176874,0.5111595255386104,0.5,20,0.9906907406435053,0.0066928509242848554,0.3775406687981454
25,0,1.0,0.0,0.7333333333333333,1.0,1.0808616e-06,0.7844078721595553,0.2678946722252168,0.4845800409716125,0.5,20,0.986193330175233,0.0066928509242848554,0.3775406687981454
26,0,1.0,0.0,0.7833333333333333,1.0,7.797707e-05,0.7844078762822483,0.2582375628812616,0.5011868686868687,0.5,20,0.9892048345256944,0.0066928509242848554,0.3775406687981454
27,0,1.0,0.0,0.75,1.0,4.041659e-09,0.7844078762854647,0.2581503521961037,0.4994158791827705,0.5,20,0.9889174404321154,0.0066928509242848554,0.3775406687981454
28,0,1.0,0.0,0.7666666666666667,1.0,0.00058265944,0.7844078759502561,0.2694872730896806,0.5888801203315864,0.5,20,0.9970798672739429,0.0066928509242848554,0.3775406687981454
29,0,1.0,0.0,0.8333333333333334,1.0,2.4760672e-07,0.7844078015487067,0.25277087813485594,0.4982118888146934,0.5,20,0.9887177513929752,0.0066928509242848554,0.3775406687981454
30,0,1.0,0.0,0.85,1.0,0.09707322,0.7844078762697977,0.23208804636570485,0.5123521984551397,0.5,20,0.9908542936564523,0.0066928509242848554,0.3775406687981454
31,0,1.0,0.0,0.8166666666666667,1.0,2.098891e-08,0.7844078762848583,0.23646560158178268,0.3846983754742207,0.5,20,0.9410593737801546,0.0066928509242848554,0.3775406687981454
32,0,1.0,0.0,0.7666666666666667,1.0,1.7680739e-08,0.7844078722441369,0.29509307173603205,0.21470518703935476,0.5,20,0.5549219481251476,0.0066928509242848554,0.3775406687981454
33,0,1.0,0.0,0.8166666666666667,1.0,0.26797262,0.7844078762454615,0.2744257019428432,0.3935415782474606,0.5,20,0.9480006354236594,0.0066928509242848554,0.3775406687981454
34,0,1.0,0.0,0.6833333333333333,1.0,5.165655e-09,0.7844078762852741,0.28367776706723496,0.7629029765059178,0.5,20,0.999784760653631,0.0066928509242848554,0.3775406687981454
35,0,1.0,0.23333333333333334,0.8666666666666667,1.0,0.0012560448,0.7844078754198194,0.2958181142996059,0.33800391951652453,0.5,20,0.8879588107470423,0.0066928509242848554,0.3775406687981454
36,1,0.0,1.0,0.6666666666666666,0.0,0.057568308,0.7844078734747734,0.6581859830367144,0.39730431625146034,0.5,20,0.950713603007449,0.0066928509242848554,0.3775406687981454
37,1,1.0,1.0,0.48333333333333334,1.0,1.0,0.7844078034344437,0.5531679398133945,0.6105264763857613,0.5,20,0.9978877712480898,0.0066928509242848554,0.3775406687981454
38,1,1.0,1.0,0.5,1.0,0.9963632,0.7844074191331728,0.5665955459851661,0.7316382036685641,0.5,20,0.9996560165793802,0.0066928509242848554,0.3775406687981454
39,1,0.0,1.0,0.48333333333333334,0.0,9.471535e-06,0.7844077753594587,0.5577855265882768,0.2473270900399961,0.5,20,0.6703804663846243,0.0066928509242848554,0.3775406687981454
40,1,0.0,1.0,0.5166666666666667,0.0,5.976235e-06,0.784393993212657,0.5766694292580951,0.2090132669983416,0.5,20,0.5337483603520523,0.0066928509242848554,0.3775406687981454
41,1,1.0,1.0,0.48333333333333334,1.0,0.96435946,0.7844078546157608,0.5669591578472407,0.3383008507575982,0.5,20,0.8884011619089651,0.0066928509242848554,0.3775406687981454
42,1,1.0,1.0,0.5833333333333334,1.0,0.99841213,0.7844078759824781,0.608046446964641,0.29633517680576504,0.5,20,0.8092320050031109,0.0066928509242848554,0.3775406687981454
43,1,0.0,1.0,0.4,0.0,7.208171e-06,0.784407678873209,0.5066894867925504,0.20395677197982803,0.5,20,0.5148335407817078,0.0066928509242848554,0.3775406687981454
44,1,1.0,1.0,0.5166666666666667,1.0,0.9997991,0.784407830323293,0.5753426519640847,0.4356768145854833,0.5,20,0.9716715770573335,0.0066928509242848554,0.3775406687981454
45,1,0.0,1.0,0.65,0.0,0.33146268,0.7844024981090651,0.6607063982435603,0.32218805704099823,0.5,20,0.8620974281947326,0.0066928509242848554,0.3775406687981454
46,1,1.0,1.0,0.45,1.0,0.99999976,0.784407817342441,0.5444852325463347,0.4438826369622217,0.5,20,0.974869945545057,0.0066928509242848554,0.3775406687981454
47,1,1.0,1.0,0.5666666666666667,1.0,0.9999993,0.7844072807067662,0.6287315366307691,0.5473221054356956,0.5,20,0.994567084199345,0.0066928509242848554,0.3775406687981454
48,1,1.0,1.0,0.5833333333333334,1.0,0.9991055,0.7844077964974265,0.6371599444604964,0.35078833584715935,0.5,20,0.9056656692924726,0.0066928509242848554,0.3775406687981454
49,1,1.0,1.0,0.55,1.0,0.99999976,0.7844078518214886,0.5977932936834477,0.45456560791958106,0.5,20,0.978510858415361,0.0066928509242848554,0.3775406687981454
50,1,0.0,1.0,0.5833333333333334,0.0,0.033608455,0.7843457166350618,0.6243263821098429,0.20633577606126627,0.5,20,0.5237412937116408,0.0066928509242848554,0.3775406687981454
51,1,1.0,1.0,0.5166666666666667,1.0,1.0,0.7843924092636871,0.5941959441753212,0.499931713979124,0.5,20,0.9890019216187345,0.0066928509242848554,0.3775406687981454
52,1,1.0,1.0,0.55,1.0,0.9970886,0.7844076539725783,0.6004539565709819,0.25905547176135413,0.5,20,0.7080293111982264,0.0066928509242848554,0.3775406687981454
