win_idx,label,acc_v,acc_m,acc_u,acc_fused,P_v,P_m,P_u,brightness,multipath_p,emi,w_v,w_m,w_u
0,0,1.0,0.0,0.9833333333333333,0.0,4.636561e-09,0.8954760489255322,0.17975314100611586,0.2895007648449451,0.5,0,0.7929026488191061,0.9933071490757153,0.3775406687981454
1,0,1.0,0.0,0.9166666666666666,1.0,7.36284e-06,0.9965004888962802,0.1990870198729898,0.6082952344168695,0.5,0,0.9978160385362072,0.9933071490757153,0.3775406687981454
2,0,1.0,0.0,0.95,0.0,0.36543745,0.9999999999819482,0.23305812492286745,0.3861650844349806,0.5,0,0.9422678990274468,0.9933071490757153,0.3775406687981454
3,0,1.0,0.3,0.85,1.0,0.00081483356,0.6948641321373874,0.22492701554557593,0.39816511303975144,0.5,0,0.9513151126393594,0.9933071490757153,0.3775406687981454
4,0,1.0,1.0,0.9,1.0,7.613341e-10,0.027843377492946533,0.2054065587149642,0.174275099196952,0.5,0,0.40471106209100516,0.9933071490757153,0.3775406687981454
5,0,1.0,1.0,0.9166666666666666,1.0,1.0143036e-07,0.006606216988578645,0.19872604530027566,0.33911356209150323,0.5,0,0.8896040896435164,0.9933071490757153,0.3775406687981454
6,0,1.0,1.0,0.9333333333333333,1.0,1.6288777e-06,0.00526753783522374,0.21538098370430583,0.5183825577014431,0.5,0,0.9916386457383917,0.9933071490757153,0.3775406687981454
7,0,1.0,1.0,0.95,1.0,8.586048e-08,0.004657986448351323,0.19814513594595942,0.6447502774694783,0.5,0,0.9987347938039898,0.9933071490757153,0.3775406687981454
8,0,1.0,1.0,0.9333333333333333,1.0,3.6581782e-10,0.003740471970927575,0.17592042215713802,0.2969502005347594,0.5,0,0.8106521132356166,0.9933071490757153,0.3775406687981454
9,0,1.0,1.0,0.9333333333333333,1.0,0.005886513,0.0040075566187207645,0.1958456520575135,0.35628899286987525,0.5,0,0.9124828800622399,0.9933071490757153,0.3775406687981454
10,0,1.0,1.0,0.9833333333333333,1.0,5.1252598e-09,0.004418123099622112,0.1755631696699518,0.16526496161633303,0.5,0,0.3726124510629595,0.9933071490757153,0.3775406687981454
11,0,1.0,1.0,0.9333333333333333,1.0,0.00045117064,0.00365598296764637,0.17121344933307114,0.4252418508473872,0.5,0,0.9670298820658515,0.9933071490757153,0.3775406687981454
12,0,1.0,1.0,0.9333333333333333,1.0,6.4989365e-09,0.0034845015547983614,0.20378611003822453,0.1584957847873449,0.5,0,0.34919870989280816,0.9933071490757153,0.3775406687981454
13,0,1.0,1.0,0.9666666666666667,1.0,0.0008817704,0.00314123822363534,0.16535871891672876,0.5882621325502826,0.5,0,0.9970527524776663,0.9933071490757153,0.3775406687981454
14,0,1.0,1.0,0.85,1.0,5.05433e-05,0.005237676363718024,0.22773178433149674,0.5199797812701039,0.5,0,0.9918349731351037,0.9933071490757153,0.3775406687981454
15,0,1.0,1.0,0.9833333333333333,1.0,2.8108989e-05,0.004178694162525382,0.13895628977720803,0.43006060951512387,0.5,0,0.9692582416583797,0.9933071490757153,0.3775406687981454
16,0,1.0,1.0,0.85,1.0,1.293967e-06,0.004199091059862717,0.24137432998572197,0.5590559628106562,0.5,0,0.9954398965740076,0.9933071490757153,0.3775406687981454
17,0,1.0,1.0,0.85,1.0,5.506945e-09,0.004196016760730015,0.2069668567843018,0.2138329893360853,0.5,0,0.5516883931391704,0.9933071490757153,0.3775406687981454
18,0,1.0,1.0,0.95,1.0,3.56296e-05,0.004587152763291968,0.13581131739478508,0.5383338520593423,0.5,0,0.9937877949279309,0.9933071490757153,0.3775406687981454
19,0,1.0,1.0,0.9333333333333333,1.0,1.7372825e-08,0.005207433985811363,0.1843799581425108,0.22612630867950015,0.5,0,0.5967387096225407,0.9933071490757153,0.3775406687981454
20,0,1.0,1.0,0.95,1.0,1.1758874e-06,0.004584935636494094,0.18960864271787783,0.25444688109161795,0.5,0,0.6935360766661405,0.9933071490757153,0.3775406687981454
21,0,1.0,1.0,0.95,1.0,0.00022270536,0.0046162965600211004,0.20270429810781915,0.19229271165830672,0.5,0,0.4711298169659418,0.9933071490757153,0.3775406687981454
22,0,1.0,1.0,0.9666666666666667,1.0,7.9645055e-05,0.004080591248618802,0.15981516687720718,0.34898671726755215,0.5,0,0.9033313919787644,0.9933071490757153,0.3775406687981454
23,0,1.0,1.0,0.9166666666666666,1.0,0.00035585565,0.004365563885398108,0.22488841684612695,0.30619445711100973,0.5,0,0.83102608869425,0.9933071490757153,0.3775406687981454
24,0,1.0,1.0,0.8833333333333333,1.0,4.444488e-07,0.0056739800158434155,0.22288199823638574,0.5124193686189072,0.5,0,0.9908634196455491,0.9933071490757153,0.3775406687981454
25,0,1.0,1.0,0.9666666666666667,1.0,0.0015024593,0.005876268145775754,0.15818831478686432,0.4837567066627646,0.5,0,0.9860241581694753,0.9933071490757153,0.3775406687981454
26,0,1.0,1.0,0.8833333333333333,1.0,4.3037298e-07,0.0044506975459128765,0.23988039126726768,0.5022225935828878,0.5,0,0.9893694817008605,0.9933071490757153,0.3775406687981454
27,0,1.0,1.0,0.85,1.0,1.7207628e-09,0.005462497749169398,0.23230461388367565,0.49743013820595317,0.5,0,0.9885861930162633,0.9933071490757153,0.3775406687981454
28,0,1.0,1.0,0.9333333333333333,1.0,0.011863028,0.004848598162923208,0.18034260120613593,0.5866994475808899,0.5,0,0.9969830630305236,0.9933071490757153,0.3775406687981454
29,0,1.0,1.0,0.8666666666666667,1.0,4.4154846e-10,0.003855514768732817,0.20552747381772318,0.49740315802963775,0.5,0,0.9885816256379683,0.9933071490757153,0.3775406687981454
30,0,1.0,1.0,0.95,1.0,0.0009893826,0.003696002885717551,0.16882616519080812,0.5130956625074272,0.5,0,0.9909548021967707,0.9933071490757153,0.3775406687981454
31,0,1.0,1.0,0.9333333333333333,1.0,2.1749962e-08,0.0037074290683220905,0.17069600717411287,0.3821503795316576,0.5,0,0.9389033605684551,0.9933071490757153,0.3775406687981454
32,0,1.0,1.0,0.9666666666666667,1.0,1.6033852e-10,0.004316187969358435,0.18118094028641085,0.21530941454596025,0.5,0,0.5571593331703467,0.9933071490757153,0.3775406687981454
33,0,1.0,1.0,0.9,1.0,2.0948928e-06,0.003534514590124428,0.17410533257877597,0.39175169057521997,0.5,0,0.9466611046736694,0.9933071490757153,0.3775406687981454
34,0,1.0,1.0,0.8833333333333333,1.0,9.323881e-10,0.004194127250081157,0.1615601130987149,0.7629294735912383,0.5,0,0.9997848461664599,0.9933071490757153,0.3775406687981454
35,0,1.0,1.0,0.9,1.0,0.0021213302,0.23563748691918296,0.32848959037549047,0.3381708238851096,0.5,0,0.8882076435607584,0.9933071490757153,0.3775406687981454
36,1,0.0,1.0,0.5833333333333334,1.0,0.18707088,0.99999999999997,0.5977319408668652,0.3944491806384389,0.5,0,0.9486676665946292,0.9933071490757153,0.3775406687981454
37,1,1.0,1.0,0.5666666666666667,1.0,1.0,0.99999999999997,0.5574220438007326,0.6124604090002014,0.5,0,0.9979480407333323,0.9933071490757153,0.3775406687981454
38,1,1.0,1.0,0.5666666666666667,1.0,0.53678006,0.99999999999997,0.5659946020009893,0.7313388150959309,0.5,0,0.9996544688699192,0.9933071490757153,0.3775406687981454
39,1,0.0,1.0,0.5166666666666667,1.0,0.047801133,0.99999999999997,0.5377774744306262,0.24919715149741486,0.5,0,0.6765490065634227,0.9933071490757153,0.3775406687981454
40,1,0.0,1.0,0.45,1.0,0.000122006706,0.99999999999997,0.48763674892616266,0.2120271193054336,0.5,0,0.5449797686049516,0.9933071490757153,0.3775406687981454
41,1,1.0,1.0,0.6,1.0,0.9960795,0.99999999999997,0.6056160735191304,0.33643371878666,0.5,0,0.8855940709847827,0.9933071490757153,0.3775406687981454
42,1,1.0,1.0,0.6166666666666667,1.0,0.83515364,0.99999999999997,0.6065682384275679,0.2967890062007709,0.5,0,0.810280695929662,0.9933071490757153,0.3775406687981454
43,1,0.0,1.0,0.48333333333333334,1.0,1.2514566e-07,0.99999999999997,0.5202156088106754,0.20491192799854097,0.5,0,0.5184114017624076,0.9933071490757153,0.3775406687981454
44,1,1.0,1.0,0.5166666666666667,1.0,0.99918526,0.99999999999997,0.5558338259378708,0.43674965600275195,0.5,0,0.9721111949403171,0.9933071490757153,0.3775406687981454
45,1,1.0,1.0,0.55,1.0,0.99902177,0.99999999999997,0.5725253439438842,0.3221093285799168,0.5,0,0.8619569731201788,0.9933071490757153,0.3775406687981454
46,1,1.0,1.0,0.5,1.0,0.9999957,0.99999999999997,0.5386424059710353,0.4446210916799152,0.5,0,0.9751398887496215,0.9933071490757153,0.3775406687981454
47,1,1.0,1.0,0.5333333333333333,1.0,1.0,0.99999999999997,0.5424418268163343,0.5463990820988792,0.5,0,0.9944917576537934,0.9933071490757153,0.3775406687981454
48,1,1.0,1.0,0.5,1.0,1.0,0.99999999999997,0.5305582848051842,0.3514791352438411,0.5,0,0.9065472362109872,0.9933071490757153,0.3775406687981454
49,1,1.0,1.0,0.5833333333333334,1.0,0.9979608,0.99999999999997,0.5631802358619151,0.45406107862248213,0.5,0,0.9783511470330836,0.9933071490757153,0.3775406687981454
50,1,0.0,1.0,0.5166666666666667,1.0,0.0010017246,0.99999999999997,0.5358185748248971,0.2055805109922757,0.5,0,0.5209147052488005,0.9933071490757153,0.3775406687981454
51,1,1.0,1.0,0.5666666666666667,1.0,1.0,0.99999999999997,0.5627625911792915,0.5001505456290355,0.5,0,0.9890375682429142,0.9933071490757153,0.3775406687981454
52,1,1.0,1.0,0.43333333333333335,1.0,0.9999995,0.99999999999997,0.48855952110808276,0.2602346237640355,0.5,0,0.7116721941824541,0.9933071490757153,0.3775406687981454
53,1,0.0,1.0,0.55,1.0,3.108647e-08,0.99999999999997,0.5633112626719415,0.11260868107926932,0.5,0,0.21234133421512666,0.9933071490757153,0.3775406687981454
54,1,1.0,1.0,0.6,1.0,0.9999833,0.99999999999997,0.5945374998871347,0.5371048060801382,0.5,0,0.9936729377755329,0.9933071490757153,0.3775406687981454
55,1,1.0,1.0,0.55,1.0,0.99818486,0.99999999999997,0.5542026948576511,0.665905572755418,0.5,0,0.9990784979150171,0.9933071490757153,0.3775406687981454
56,1,0.0,1.0,0.6333333333333333,1.0,2.4412942e-05,0.99999999999997,0.599517463068557,0.2643897125245762,0.5,0,0.7242906813309956,0.9933071490757153,0.3775406687981454
57,1,1.0,1.0,0.55,1.0,1.0,0.9999999999999681,0.5619346975614732,0.6121095061118129,0.5,0,0.9979372340200392,0.9933071490757153,0.3775406687981454
58,1,1.0,1.0,0.5166666666666667,1.0,0.9341057,0.9999999999999024,0.5377852464523998,0.2642721697732591,0.5,0,0.7239384539451321,0.9933071490757153,0.3775406687981454
59,1,0.0,1.0,0.43333333333333335,1.0,0.0021837854,0.999999999999923,0.4768028486748303,0.23881717011128775,0.5,0,0.6415867033447941,0.9933071490757153,0.3775406687981454
60,1,1.0,1.0,0.5333333333333333,1.0,0.99999905,0.999999999999968,0.5625907338666623,0.6783916035550023,0.5,0,0.9992357675628314,0.9933071490757153,0.3775406687981454
61,1,1.0,1.0,0.6166666666666667,1.0,0.9596902,0.999999999999969,0.6125735749494383,0.5953735742663079,0.5,0,0.9973501625182607,0.9933071490757153,0.3775406687981454
62,1,1.0,1.0,0.6166666666666667,1.0,0.99886537,0.9999999999999611,0.5923973433109816,0.541955058376627,0.5,0,0.9941142962891218,0.9933071490757153,0.3775406687981454
63,1,1.0,1.0,0.5333333333333333,1.0,0.9999999,0.9999999999999657,0.5463498087832472,0.2238244682277836,0.5,0,0.5884029155824908,0.9933071490757153,0.3775406687981454
64,1,0.0,1.0,0.5166666666666667,1.0,0.0019439675,0.9999999999999695,0.5456335656357629,0.29515466147523256,0.5,0,0.8064833850867773,0.9933071490757153,0.3775406687981454
65,1,0.0,1.0,0.6166666666666667,1.0,0.01721803,0.99999999999997,0.6036479506881209,0.24258221807241415,0.5,0,0.654467058699196,0.9933071490757153,0.3775406687981454
66,1,0.0,1.0,0.5166666666666667,1.0,0.00048211828,0.99999999999997,0.5224088821066334,0.27812025722795825,0.5,0,0.7634709168296335,0.9933071490757153,0.3775406687981454
67,1,0.0,1.0,0.5166666666666667,1.0,1.5817989e-08,0.99999999999997,0.538071502779703,0.1052362508789524,0.5,0,0.19443339310510607,0.9933071490757153,0.3775406687981454
68,1,0.0,1.0,0.5833333333333334,1.0,0.04662763,0.99999999999997,0.5810580717871802,0.3919567424757736,0.5,0,0.9468161993994338,0.9933071490757153,0.3775406687981454
69,1,0.0,1.0,0.6,1.0,0.029238692,0.99999999999997,0.5775253663462017,0.23047058823529412,0.5,0,0.6123162158324769,0.9933071490757153,0.3775406687981454
70,1,0.0,1.0,0.55,1.0,1.3702525e-07,0.99999999999997,0.5526020126673766,0.10701948490995145,0.5,0,0.19865725857572455,0.9933071490757153,0.3775406687981454
71,1,0.0,1.0,0.43333333333333335,1.0,4.0543353e-05,0.99999999999997,0.4763246622363713,0.22274032661733198,0.5,0,0.584458891184198,0.9933071490757153,0.3775406687981454
72,1,1.0,1.0,0.45,1.0,0.9999993,0.99999999999997,0.49920773956687203,0.6346043993622996,0.5,0,0.9985271263901845,0.9933071490757153,0.3775406687981454
73,1,1.0,1.0,0.4166666666666667,1.0,0.99834454,0.99999999999997,0.45828610165071815,0.3964623924736737,0.5,0,0.9501184699516828,0.9933071490757153,0.3775406687981454
74,1,0.0,1.0,0.6,1.0,0.13881302,0.99999999999997,0.5825429505366472,0.1460519524048936,0.5,0,0.30805658169274047,0.9933071490757153,0.3775406687981454
75,1,1.0,1.0,0.6333333333333333,1.0,0.99219465,0.99999999999997,0.5987962563973113,0.24036807705538357,0.5,0,0.6469184414648153,0.9933071490757153,0.3775406687981454
76,1,0.0,1.0,0.5833333333333334,1.0,2.9532222e-08,0.99999999999997,0.5794594644955454,0.16534789976108533,0.5,0,0.37290332687589073,0.9933071490757153,0.3775406687981454
77,1,1.0,1.0,0.5333333333333333,1.0,1.0,0.99999999999997,0.5514921900783868,0.48051334008780816,0.5,0,0.9853376313737918,0.9933071490757153,0.3775406687981454
78,1,1.0,1.0,0.5833333333333334,1.0,0.5856723,0.99999999999997,0.5924634250613343,0.26544824660633487,0.5,0,0.7274501019969813,0.9933071490757153,0.3775406687981454
79,1,1.0,1.0,0.5833333333333334,1.0,0.999972,0.99999999999997,0.5915450085330843,0.5127462193417207,0.5,0,0.9909076981968492,0.9933071490757153,0.3775406687981454
80,1,1.0,1.0,0.7166666666666667,1.0,1.0,0.99999999999997,0.6561637408345697,0.3972007089147049,0.5,0,0.9506407306578624,0.9933071490757153,0.3775406687981454
81,1,0.0,1.0,0.5666666666666667,1.0,0.30204087,0.99999999999997,0.5571224659189895,0.364309921499464,0.5,0,0.9216261127420368,0.9933071490757153,0.3775406687981454
82,1,1.0,1.0,0.7,1.0,0.9998629,0.99999999999997,0.6400483209808642,0.595539950197716,0.5,0,0.997356749852811,0.9933071490757153,0.3775406687981454
83,1,1.0,1.0,0.5333333333333333,1.0,1.0,0.99999999999997,0.5515048495489379,0.49867983587148673,0.5,0,0.9887957823511933,0.9933071490757153,0.3775406687981454
84,1,0.0,1.0,0.5833333333333334,1.0,0.05435587,0.99999999999997,0.5923457934122084,0.2735734864121087,0.5,0,0.7509344587307486,0.9933071490757153,0.3775406687981454
85,1,1.0,1.0,0.4,1.0,1.0,0.99999999999997,0.4574345645791473,0.42775283382274004,0.5,0,0.9682098546091089,0.9933071490757153,0.3775406687981454
86,1,1.0,1.0,0.4666666666666667,1.0,1.0,0.99999999999997,0.5117995784348909,0.44705403309590747,0.5,0,0.9760094085671961,0.9933071490757153,0.3775406687981454
87,1,1.0,1.0,0.48333333333333334,1.0,0.99996746,0.99999999999997,0.5096932299797692,0.4314261223615129,0.5,0,0.9698627271119835,0.9933071490757153,0.3775406687981454
88,1,1.0,1.0,0.5666666666666667,1.0,0.9969695,0.99999999999997,0.5631433828107999,0.4616620883458053,0.5,0,0.9806387656829066,0.9933071490757153,0.3775406687981454
89,1,1.0,1.0,0.5666666666666667,1.0,1.0,0.99999999999997,0.5655823606224135,0.5342478871890636,0.5,0,0.9933977347192282,0.9933071490757153,0.3775406687981454
90,1,1.0,1.0,0.6,1.0,0.5319625,0.99999999999997,0.5924403633841588,0.2841592394533571,0.5,0,0.779437016499007,0.9933071490757153,0.3775406687981454
91,1,1.0,1.0,0.6333333333333333,1.0,0.9999652,0.99999999999997,0.6376643547923,0.7627243145320144,0.5,0,0.9997841831783718,0.9933071490757153,0.3775406687981454
92,1,1.0,1.0,0.43333333333333335,1.0,0.99915135,0.99999999999997,0.4794070457916513,0.3989148975697083,0.5,0,0.9518333669385965,0.9933071490757153,0.3775406687981454
93,1,1.0,1.0,0.55,1.0,1.0,0.99999999999997,0.5531828950828943,0.45158518438677964,0.5,0,0.9775504156214685,0.9933071490757153,0.3775406687981454
94,1,1.0,1.0,0.6,1.0,0.9999987,0.99999999999997,0.5854148807378348,0.38008343122195115,0.5,0,0.9371004498504306,0.9933071490757153,0.3775406687981454
95,1,1.0,1.0,0.6833333333333333,1.0,0.9916751,0.99999999999997,0.6316059026184875,0.3082078404457184,0.5,0,0.8352246372214608,0.9933071490757153,0.3775406687981454
96,1,1.0,1.0,0.5833333333333334,1.0,0.99973434,0.99999999999997,0.5888493016525798,0.29998247561189323,0.5,0,0.8175352674160788,0.9933071490757153,0.3775406687981454
97,1,1.0,1.0,0.5666666666666667,1.0,0.95995706,0.99999999999997,0.5774130717888561,0.5711663832199546,0.5,0,0.9961945023404997,0.9933071490757153,0.3775406687981454
98,1,1.0,1.0,0.5666666666666667,1.0,0.9999999,0.99999999999997,0.5944782751486927,0.40483232119113527,0.5,0,0.9557433942373293,0.9933071490757153,0.3775406687981454
99,1,1.0,1.0,0.6,1.0,0.95398015,0.999999999999928,0.5939297160326463,0.3889428492415198,0.5,0,0.944493188836098,0.9933071490757153,0.3775406687981454
100,1,1.0,1.0,0.5333333333333333,1.0,0.8866943,0.9999999999998793,0.5476309638119737,0.5598540811673507,0.5,0,0.9954939190914797,0.9933071490757153,0.3775406687981454
