win_idx,label,acc_v,acc_m,acc_u,acc_mv,acc_ds_eq,acc_ds_static,P_v,P_m,P_u
0,0,1.0,0.0,1.0,1.0,0.0,0.0,6.830297e-14,0.7844078759864204,0.018025542635191624
1,0,1.0,0.0,1.0,1.0,0.0,0.0,4.60884e-09,0.7844078762830112,0.017973132253852376
2,0,1.0,0.0,1.0,1.0,0.0,0.0,7.9135475e-07,0.7844078762421748,0.01796295688547071
3,0,1.0,0.0,1.0,1.0,0.0,0.0,1.4426791e-13,0.7844039114684574,0.017983126686195037
4,0,1.0,0.0,1.0,1.0,0.0,0.0,3.8826445e-10,0.7844078760805537,0.01795544588320691
5,0,1.0,0.0,1.0,1.0,0.0,0.0,1.2475863e-05,0.7844078762854555,0.017974367127088647
6,0,1.0,0.0,1.0,1.0,0.0,0.0,8.064925e-15,0.7844078731356525,0.017967904253898295
7,0,1.0,0.0,1.0,1.0,0.0,0.0,1.9420299e-09,0.784407876284748,0.017961217851908916
8,0,1.0,0.0,1.0,1.0,0.0,0.0,1.5254674e-14,0.7844078761244794,0.01800193322651684
9,0,1.0,0.0,1.0,1.0,0.0,0.0,0.00034124264,0.784407872299669,0.018079173459969233
10,0,1.0,0.0,1.0,1.0,0.0,0.0,6.574796e-15,0.7844078704492168,0.01798176713259831
11,0,1.0,0.0,1.0,1.0,0.0,0.0,0.13163678,0.7844078762768646,0.017994034801071215
12,0,1.0,0.0,1.0,1.0,0.0,0.0,3.7840304e-11,0.784407876285434,0.01800476329186925
13,0,1.0,0.0,1.0,1.0,0.0,0.0,1.4959161e-07,0.7844078762852239,0.017956301862744422
14,0,1.0,0.0,1.0,1.0,0.0,0.0,6.387805e-08,0.7844078761594528,0.01795319671609969
15,0,1.0,0.0,1.0,1.0,0.0,0.0,3.9005812e-12,0.7844078762854488,0.017996749042724906
16,0,1.0,0.0,1.0,1.0,0.0,0.0,4.3792215e-16,0.7844078762854575,0.017997873360946205
17,0,1.0,0.0,1.0,1.0,0.0,0.0,5.5338966e-14,0.7844078762854643,0.01803828707733039
18,0,1.0,0.0,1.0,1.0,0.0,0.0,3.4431935e-10,0.7844078759151429,0.017968791241738207
19,0,1.0,0.0,1.0,1.0,0.0,0.0,1.12255284e-13,0.7844078762776547,0.018002919115405504
20,0,1.0,0.0,1.0,1.0,0.0,0.0,3.7372336e-12,0.7844078762839019,0.017975418516070794
