win_idx,label,acc_v,acc_m,acc_u,acc_mv,acc_ds_eq,acc_ds_static,P_v,P_m,P_u
0,0,1.0,0.0,0.5166666666666667,1.0,0.0,0.0,6.830297e-14,0.7844078133613004,0.495400491730872
1,0,1.0,0.0,0.45,0.0,0.0,0.0,4.60884e-09,0.7844078762766425,0.533998764169095
2,0,1.0,0.0,0.5833333333333334,1.0,0.0,0.0,7.9135475e-07,0.7844078762851621,0.44709465934632675
3,0,1.0,0.0,0.5833333333333334,1.0,0.0,0.0,1.4426791e-13,0.7844078762854633,0.4408001569277006
4,0,1.0,0.0,0.55,1.0,0.0,0.0,3.8826445e-10,0.7844078762854483,0.4664320153967008
5,0,1.0,0.0,0.5166666666666667,1.0,0.0,0.0,1.2475863e-05,0.7844078762815029,0.4660471530716245
6,0,1.0,0.0,0.55,1.0,0.0,0.0,8.064925e-15,0.7844073940772422,0.47004997684325794
7,0,1.0,0.0,0.4166666666666667,0.0,0.0,0.0,1.9420299e-09,0.7844078762718105,0.5663546725974183
8,0,1.0,0.0,0.5333333333333333,1.0,0.0,0.0,1.5254674e-14,0.7844078762821913,0.4659414814320661
9,0,1.0,0.0,0.65,1.0,0.0,0.0,0.00034124264,0.7844078762853047,0.41364537603993806
10,0,1.0,0.0,0.48333333333333334,1.0,0.0,0.0,6.574796e-15,0.784407876285234,0.48504720924731254
11,0,1.0,0.0,0.5666666666666667,1.0,0.0,0.0,0.13163678,0.784407875777809,0.48207249211332653
12,0,1.0,0.0,0.65,1.0,0.0,0.0,3.7840304e-11,0.7844078762854034,0.39342182060609476
13,0,1.0,0.0,0.5833333333333334,1.0,0.0,0.0,1.4959161e-07,0.7844078762854617,0.43702563685958157
14,0,1.0,0.0,0.5333333333333333,1.0,0.0,0.0,6.387805e-08,0.7844078762854588,0.48409463583296447
15,0,1.0,0.0,0.45,0.0,0.0,0.0,3.9005812e-12,0.7844078762854573,0.510081335950648
16,0,1.0,0.0,0.5166666666666667,1.0,0.0,0.0,4.3792215e-16,0.7844078762834797,0.48721452397273174
17,0,1.0,0.0,0.55,1.0,0.0,0.0,5.5338966e-14,0.7844078762852036,0.4591973177617436
18,0,1.0,0.0,0.48333333333333334,0.0,0.0,0.0,3.4431935e-10,0.7844078760314352,0.500347105858374
19,0,1.0,0.0,0.55,1.0,0.0,0.0,1.12255284e-13,0.7844078762854643,0.4729896208174841
20,0,1.0,0.0,0.5333333333333333,1.0,0.0,0.0,3.7372336e-12,0.7844078762854495,0.4639147785701466
21,0,1.0,0.0,0.5166666666666667,1.0,0.0,0.0,9.830529e-21,0.7844078762780454,0.4861279653662921
22,0,1.0,0.0,0.6,1.0,0.0,0.0,4.0740008e-14,0.7844078751185545,0.4299403308410063
23,0,1.0,0.0,0.6833333333333333,1.0,0.0,0.0,9.551191e-12,0.7844078762781912,0.37941167446163
24,0,1.0,0.0,0.55,1.0,0.0,0.0,0.00026217633,0.7844078760063137,0.4804349605539995
25,0,1.0,0.0,0.5166666666666667,1.0,0.0,0.0,0.00013153402,0.7844078762854606,0.4566744720331392
26,0,1.0,0.0,0.5333333333333333,1.0,0.0,0.0,4.557235e-11,0.7844078762849579,0.4776266950254281
27,0,1.0,0.0,0.4,0.0,0.0,0.0,8.756345e-06,0.7844078762854646,0.5464003195992709
28,0,1.0,0.0,0.6166666666666667,1.0,0.0,0.0,4.557235e-11,0.7844078762825002,0.43032531384298994
29,0,1.0,0.0,0.5666666666666667,1.0,0.0,0.0,0.00025937232,0.7844078527161101,0.4611755877747899
