win_idx,label,acc_v,acc_m,acc_u,acc_mv,acc_ds_eq,acc_ds_static,P_v,P_m,P_u
0,0,1.0,0.0,1.0,1.0,0.0,0.0,1.2488599e-07,0.7844078762854686,0.018007180271299283
1,0,1.0,0.0,1.0,1.0,0.0,0.0,0.00011188169,0.7844027344373996,0.018028959666439946
2,0,1.0,0.0,1.0,1.0,0.0,0.0,0.00014504691,0.7844078762715018,0.017972992932936915
3,0,0.0,0.0,1.0,0.0,0.0,0.0,0.9219173,0.7844078648132372,0.01796348972465398
4,0,1.0,0.0,1.0,1.0,0.0,0.0,1.390251e-06,0.7844078762786657,0.01801135344017075
5,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0054867268,0.7844078762824623,0.017974965474300317
6,0,1.0,0.0,1.0,1.0,0.0,0.0,1.3447268e-10,0.78440787618993,0.01800463811459102
7,0,1.0,0.0,1.0,1.0,0.0,0.0,9.7025995e-06,0.7844078725110658,0.017971031661570207
8,0,1.0,0.0,1.0,1.0,0.0,0.0,5.264063e-09,0.7844078641859639,0.018004029289977692
9,0,1.0,0.0,1.0,1.0,0.0,0.0,0.43191415,0.7844078613706745,0.0179846412349586
10,0,1.0,0.0,1.0,1.0,0.0,0.0,1.3685997e-10,0.7844078762852448,0.017994186151760048
11,0,1.0,0.0,1.0,1.0,0.0,0.0,1.3977247e-09,0.7844078758954665,0.0180671940437109
12,0,1.0,0.0,1.0,1.0,0.0,0.0,0.00060865865,0.7844078762845116,0.01797478995736204
13,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0940438e-06,0.7844078762854644,0.017963735149439764
14,0,1.0,0.0,1.0,1.0,0.0,0.0,0.001873581,0.7844078762815168,0.017998354936757142
15,0,1.0,0.0,1.0,1.0,0.0,0.0,6.0994787e-10,0.7844078743866129,0.017951112379915733
16,0,1.0,0.0,1.0,1.0,0.0,0.0,3.4979063e-08,0.7844078658378016,0.017967977315518142
17,0,1.0,0.0,1.0,1.0,0.0,0.0,1.2384821e-05,0.7844078762206548,0.017980389048028556
18,0,1.0,0.0,1.0,1.0,0.0,0.0,0.00011088427,0.7844078762854001,0.017911216882941946
19,0,1.0,0.0,1.0,1.0,0.0,0.0,1.12528785e-10,0.7844078762412117,0.017970804251731535
20,0,1.0,0.0,1.0,1.0,0.0,0.0,4.7245385e-09,0.7844078762854099,0.01805533098296245
21,0,1.0,0.0,1.0,1.0,0.0,0.0,2.1681458e-07,0.7844073154621363,0.017965607125987344
