win_idx,label,acc_v,acc_m,acc_u,acc_mv,acc_ds_eq,acc_ds_static,P_v,P_m,P_u
0,0,1.0,0.0,0.9833333333333333,1.0,0.0,0.0,6.830297e-14,0.7851708706717503,0.14658420568295505
1,0,1.0,0.0,0.9833333333333333,1.0,0.0,0.0,4.60884e-09,0.9666150802804125,0.1331751076389728
2,0,1.0,0.0,1.0,1.0,0.0,0.0,7.9135475e-07,0.9999996104887193,0.14891638221446912
3,0,1.0,0.0,1.0,1.0,0.0,0.0,1.4426791e-13,0.9998587123932282,0.11400164472534625
4,0,1.0,0.6166666666666667,1.0,1.0,0.0,1.0,3.8826445e-10,0.3901289602780294,0.11496882753284757
5,0,1.0,1.0,0.9666666666666667,1.0,1.0,1.0,1.2475863e-05,0.00983530831861374,0.1321028648961275
6,0,1.0,1.0,1.0,1.0,1.0,1.0,8.064925e-15,0.0049613452596790515,0.14094293847298164
7,0,1.0,1.0,0.9833333333333333,1.0,1.0,1.0,1.9420299e-09,0.0036919746139273276,0.10641171742959948
8,0,1.0,1.0,0.9833333333333333,1.0,1.0,1.0,1.5254674e-14,0.003496371632955468,0.08830121921519332
9,0,1.0,1.0,0.9833333333333333,1.0,1.0,1.0,0.00034124264,0.003929812152025978,0.13150538970197198
10,0,1.0,1.0,1.0,1.0,1.0,1.0,6.574796e-15,0.002882095610254085,0.12834846865284147
11,0,1.0,1.0,0.9833333333333333,1.0,1.0,1.0,0.13163678,0.003963816695803007,0.13694779571802454
12,0,1.0,1.0,1.0,1.0,1.0,1.0,3.7840304e-11,0.004039538320082639,0.12154730121132123
13,0,1.0,1.0,1.0,1.0,1.0,1.0,1.4959161e-07,0.004404092765211031,0.13938858727410522
14,0,1.0,1.0,0.9833333333333333,1.0,1.0,1.0,6.387805e-08,0.004018325836083203,0.10637880430620403
15,0,1.0,1.0,0.9833333333333333,1.0,1.0,1.0,3.9005812e-12,0.004475166023149215,0.14098115056660454
16,0,1.0,1.0,0.9666666666666667,1.0,1.0,1.0,4.3792215e-16,0.004378266121874575,0.16703393591850538
17,0,1.0,1.0,0.9833333333333333,1.0,1.0,1.0,5.5338966e-14,0.0042151404434558224,0.12879494977949382
18,0,1.0,1.0,1.0,1.0,1.0,1.0,3.4431935e-10,0.0052466215416868975,0.1302155389449622
19,0,1.0,1.0,0.9833333333333333,1.0,1.0,1.0,1.12255284e-13,0.003505839207176426,0.12226211924214757
20,0,1.0,1.0,1.0,1.0,1.0,1.0,3.7372336e-12,0.003387791528220842,0.0945429310786831
