win_idx,label,acc_v,acc_m,acc_u,acc_mv,acc_ds_eq,acc_ds_static,P_v,P_m,P_u
0,0,1.0,0.36666666666666664,1.0,1.0,0.0,0.0,4.7897604e-08,0.6534188134531388,0.018007180271299283
1,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0010470897,0.02619754012766667,0.018028959666439946
2,0,1.0,1.0,1.0,1.0,1.0,1.0,6.307151e-07,0.00797915925092853,0.017972992932936915
3,0,1.0,1.0,1.0,1.0,1.0,1.0,3.4286356e-07,0.006613032308483982,0.01796348972465398
4,0,1.0,1.0,1.0,1.0,1.0,1.0,4.9112737e-06,0.004679400945901277,0.01801135344017075
5,0,1.0,1.0,1.0,1.0,1.0,1.0,7.053388e-08,0.0033407580396688156,0.017974965474300317
6,0,1.0,1.0,1.0,1.0,1.0,1.0,3.5974335e-10,0.003953802163788446,0.01800463811459102
7,0,1.0,1.0,1.0,1.0,1.0,1.0,5.827492e-11,0.004174145190070523,0.017971031661570207
8,0,1.0,1.0,1.0,1.0,1.0,1.0,2.4584137e-09,0.004414090695761709,0.018004029289977692
9,0,1.0,1.0,1.0,1.0,1.0,1.0,1.6875028e-09,0.003469694825313826,0.0179846412349586
10,0,1.0,1.0,1.0,1.0,1.0,1.0,1.9125087e-05,0.004424310404606742,0.017994186151760048
11,0,1.0,1.0,1.0,1.0,1.0,1.0,6.477306e-05,0.0033483400991209753,0.0180671940437109
12,0,1.0,1.0,1.0,1.0,1.0,1.0,5.2015075e-08,0.0036903698929998826,0.01797478995736204
13,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0848396,0.0035927786005896744,0.017963735149439764
14,0,1.0,1.0,1.0,1.0,1.0,1.0,2.2076412e-09,0.00419950661355758,0.017998354936757142
15,0,1.0,1.0,1.0,1.0,1.0,1.0,2.2538242e-10,0.00331434694597927,0.017951112379915733
16,0,1.0,1.0,1.0,1.0,1.0,1.0,4.7507643e-07,0.0045812861219708505,0.017967977315518142
17,0,1.0,1.0,1.0,1.0,1.0,1.0,8.792561e-06,0.005080194075370377,0.017980389048028556
18,0,1.0,1.0,1.0,1.0,1.0,1.0,1.994958e-10,0.0036910982495038337,0.017911216882941946
19,0,1.0,1.0,1.0,1.0,1.0,1.0,3.1540503e-11,0.004315255998366857,0.017970804251731535
20,0,1.0,1.0,1.0,1.0,1.0,1.0,5.924412e-11,0.003340166541572176,0.01805533098296245
21,0,1.0,1.0,1.0,1.0,1.0,1.0,6.794999e-06,0.004001989769718442,0.017965607125987344
22,0,1.0,1.0,1.0,1.0,1.0,1.0,3.4169492e-08,0.003557882678283672,0.017958614304353648
23,0,1.0,1.0,1.0,1.0,1.0,1.0,3.5097e-06,0.0035999750345462626,0.017985575018222802
24,0,1.0,1.0,1.0,1.0,1.0,1.0,0.018535016,0.005540183036085733,0.017985903238058338
25,0,1.0,1.0,1.0,1.0,1.0,1.0,0.01922826,0.005125129942438583,0.017994649988450802
26,0,1.0,1.0,1.0,1.0,1.0,1.0,9.123324e-05,0.0036500580218743217,0.01803339941081694
27,0,1.0,1.0,1.0,1.0,1.0,1.0,2.2623031e-07,0.0036923277868427897,0.018044666476328533
28,0,1.0,1.0,1.0,1.0,1.0,1.0,1.2661118e-07,0.003717844072283007,0.017984271434412967
29,0,1.0,1.0,1.0,1.0,1.0,1.0,3.933113e-06,0.004359405231134841,0.01797780349933618
30,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0009527526,0.00497521760909169,0.017987194110818675
31,0,1.0,1.0,1.0,1.0,1.0,1.0,2.524846e-06,0.004521950963352784,0.017999082620083824
32,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0008203753,0.0035586391178455004,0.017963980390748046
33,0,1.0,1.0,1.0,1.0,1.0,1.0,1.5293999e-06,0.003192483151572678,0.017996396224099747
34,0,1.0,1.0,1.0,1.0,1.0,1.0,0.018272668,0.004407012972163437,0.017978499366160843
35,0,1.0,1.0,1.0,1.0,0.0,1.0,3.0520198e-07,0.23569801438307905,0.24491109523508936
36,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9894175,0.9999999942062522,0.9906233155754428
37,1,0.0,1.0,1.0,1.0,0.0,0.0,3.3840405e-07,0.9999999987217395,0.9906168168219137
38,1,1.0,1.0,1.0,1.0,1.0,1.0,0.99999404,0.9999999997781085,0.9906419982487744
39,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9178882,0.9999999995236635,0.990620705476575
40,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9999821,0.9999999998721582,0.9906512904883107
41,1,1.0,1.0,1.0,1.0,1.0,1.0,0.99999166,0.9999999999805836,0.990637638506495
42,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9663906,0.9999999999982947,0.990621897869605
43,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999998934782,0.9906509221376134
44,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999,0.9999999999953896,0.990629215126399
45,1,1.0,1.0,1.0,1.0,1.0,1.0,0.99999785,0.9999999999998311,0.9906397081548892
46,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9999995,0.9999999999999555,0.9906500006983425
47,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999628,0.9906276559778723
48,1,1.0,1.0,1.0,1.0,1.0,1.0,0.99999976,0.9999999999995712,0.9906532810306775
49,1,0.0,1.0,1.0,1.0,0.0,0.0,8.2512895e-05,0.9999999999996216,0.9906625680767438
50,1,0.0,1.0,1.0,1.0,0.0,0.0,0.28976318,0.9999999999997725,0.9906337375594005
51,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999991238,0.9906202306372928
52,1,1.0,1.0,1.0,1.0,1.0,1.0,0.99999416,0.9999999999997999,0.9906379863897289
53,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9999932,0.9999999999998658,0.9906267319978868
54,1,1.0,1.0,1.0,1.0,1.0,1.0,0.95110357,0.9999999999999282,0.9906448071533303
55,1,0.0,1.0,1.0,1.0,0.0,0.0,0.07721028,0.9999999999902481,0.9906271803390605
56,1,0.0,1.0,1.0,1.0,0.0,0.0,0.015581255,0.999999999967828,0.9906352845737274
57,1,1.0,1.0,1.0,1.0,1.0,1.0,0.88602346,0.9999999999920584,0.9906263420155459
58,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9134913,0.999999992500476,0.9906365943559169
59,1,0.0,1.0,1.0,1.0,0.0,0.0,0.01693193,0.9999999990988507,0.9906437595458819
60,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9999962,0.9999999993791333,0.9906305777857628
61,1,0.0,1.0,1.0,1.0,0.0,0.0,1.1543376e-10,0.9999999997038984,0.9906313286984961
62,1,1.0,1.0,1.0,1.0,1.0,1.0,0.89111745,0.9999999996652131,0.9906370864709451
63,1,0.0,1.0,1.0,1.0,0.0,0.0,8.767421e-09,0.9999999999373314,0.9906675739075441
64,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9999918,0.9999999999917544,0.9906272365725619
65,1,1.0,1.0,1.0,1.0,1.0,1.0,0.7780021,0.9999999999986912,0.9906700129081482
66,1,1.0,1.0,1.0,1.0,1.0,1.0,0.99998164,0.9999999999919839,0.9906258030604282
67,1,1.0,1.0,1.0,1.0,1.0,1.0,0.99999964,0.9999999999975542,0.9906285685137113
68,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9999919,0.9999999999958699,0.9906253881852367
69,1,1.0,1.0,1.0,1.0,1.0,1.0,0.99999976,0.9999999999792224,0.9906205235130747
70,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9999944,0.9999999999933542,0.9906365593823963
71,1,1.0,1.0,1.0,1.0,1.0,1.0,0.97569215,0.9999999999816166,0.990624188302439
72,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9991672,0.9999999999563635,0.9906719656492439
73,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9993548,0.9999999998498165,0.9906108322646401
74,1,0.0,1.0,1.0,1.0,0.0,0.0,0.003613068,0.9999999999861278,0.9906542714009662
75,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9959674,0.9999999995359061,0.9906218662831083
76,1,0.0,1.0,1.0,1.0,0.0,0.0,6.318559e-10,0.9999999981370992,0.9906240048061513
77,1,1.0,1.0,1.0,1.0,1.0,1.0,0.99999046,0.9999999975003104,0.9906442013930322
78,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9999993,0.9999999618153442,0.9906158125673387
79,1,0.0,1.0,1.0,1.0,0.0,0.0,0.34353206,0.9999999931586839,0.9906390150037755
80,1,0.0,1.0,1.0,1.0,0.0,0.0,0.001219439,0.9999999991875744,0.9906375112585972
81,1,0.0,1.0,1.0,1.0,0.0,0.0,0.004984826,0.9999999992770873,0.9906207607111347
82,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999987836433,0.990654047103667
83,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9999995,0.9999999984497077,0.9906221769761248
84,1,1.0,1.0,1.0,1.0,1.0,1.0,0.99989104,0.9999999999680756,0.9906605087757813
85,1,1.0,1.0,1.0,1.0,1.0,1.0,0.8728049,0.9999999999629857,0.990608849752691
86,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9991233,0.9999999999951038,0.9906256941318439
87,1,0.0,1.0,1.0,1.0,0.0,0.0,0.0053293663,0.9999999999947767,0.9906501420367689
88,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9997949,0.9999999999798544,0.9906643257996267
89,1,0.0,1.0,1.0,1.0,0.0,0.0,0.3408119,0.999999999987373,0.9906362273664217
90,1,0.0,1.0,1.0,1.0,0.0,0.0,2.2413003e-08,0.9999999999954682,0.9906245468517402
91,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9999875,0.9999999999968028,0.9906451516261287
92,1,0.0,1.0,1.0,1.0,0.0,0.0,0.3178006,0.999999999999746,0.9906136377001176
93,1,0.0,1.0,1.0,1.0,0.0,0.0,0.004480774,0.9999999999997242,0.990620471783956
94,1,1.0,1.0,1.0,1.0,1.0,1.0,0.99994123,0.9999999999992617,0.9906584730191134
95,1,1.0,1.0,1.0,1.0,1.0,1.0,0.7917132,0.9999999999987002,0.9905992488933676
96,1,1.0,1.0,1.0,1.0,1.0,1.0,0.99999964,0.9999999999975556,0.9906510763138106
97,1,1.0,1.0,1.0,1.0,1.0,1.0,0.96850204,0.9999999999836457,0.9906218921829552
98,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9999989,0.9999999999496944,0.9906378412286007
99,1,0.0,1.0,1.0,1.0,0.0,0.0,0.002161207,0.9999999991901013,0.9906297448499976
100,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9999882,0.9999999960797389,0.9906352675044936
101,1,1.0,1.0,1.0,1.0,1.0,1.0,0.99998426,0.9999999968190217,0.9906397012707349
102,1,0.0,1.0,1.0,1.0,0.0,0.0,0.028625092,0.9999999704804825,0.9906005307449228
103,1,0.0,1.0,1.0,1.0,0.0,0.0,0.09307893,0.9999999962930854,0.990637385233576
104,1,1.0,1.0,1.0,1.0,1.0,1.0,0.70677966,0.999999989266175,0.9906236365257608
105,1,1.0,1.0,1.0,1.0,1.0,1.0,0.99581414,0.9999999803892397,0.9906343702988704
106,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.918459300260099,0.9037660871441192
107,1,0.0,1.0,1.0,1.0,0.0,0.0,7.466347e-09,0.99999999999997,0.9701464237713395
108,1,1.0,1.0,1.0,1.0,1.0,1.0,0.92984366,0.99999999999997,0.9701431536603322
109,1,1.0,1.0,1.0,1.0,1.0,1.0,0.999941,0.99999999999997,0.9701715920953211
110,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9924563,0.99999999999997,0.9701481242808174
111,1,0.0,1.0,1.0,1.0,0.0,0.0,5.9465197e-07,0.99999999999997,0.9701188659321116
112,1,1.0,1.0,1.0,1.0,1.0,1.0,0.99974984,0.99999999999997,0.9700432255136116
113,1,0.0,1.0,1.0,1.0,0.0,0.0,1.5430145e-06,0.99999999999997,0.9700960735812985
114,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9999815,0.99999999999997,0.970152561237766
115,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99999999999997,0.9700738021339864
116,1,0.0,1.0,1.0,1.0,0.0,0.0,0.4381527,0.99999999999997,0.970051779268305
117,1,1.0,1.0,1.0,1.0,1.0,1.0,0.99821186,0.99999999999997,0.970116170722584
118,1,0.0,1.0,1.0,1.0,0.0,0.0,0.001108933,0.99999999999997,0.970098749154833
119,1,1.0,1.0,1.0,1.0,1.0,1.0,0.97480327,0.99999999999997,0.9701312836507759
120,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99999999999997,0.9701539794452577
121,1,0.0,1.0,1.0,1.0,0.0,0.0,0.15272276,0.99999999999997,0.9701122491991729
122,1,1.0,1.0,1.0,1.0,1.0,1.0,0.99994993,0.99999999999997,0.9701371243612914
123,1,0.0,1.0,1.0,1.0,0.0,0.0,0.004876836,0.99999999999997,0.9701631281172642
124,1,1.0,1.0,1.0,1.0,1.0,1.0,0.98611104,0.99999999999997,0.9701729541454919
125,1,0.0,1.0,1.0,1.0,0.0,0.0,0.0056226645,0.99999999999997,0.9700781369565911
126,1,0.0,1.0,1.0,1.0,0.0,0.0,0.0056759464,0.99999999999997,0.9701333514753794
127,1,0.0,1.0,1.0,1.0,0.0,0.0,3.1147425e-07,0.99999999999997,0.9701317676310584
128,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9999958,0.99999999999997,0.9701870922095891
129,1,0.0,1.0,1.0,1.0,0.0,0.0,5.234793e-05,0.7732846803698722,0.747885288010804
130,0,1.0,1.0,1.0,1.0,1.0,1.0,4.070195e-06,0.009302191942534411,0.017949692635006707
131,0,1.0,1.0,1.0,1.0,1.0,1.0,2.6811458e-06,0.004161168237626097,0.01802837963876846
132,0,1.0,1.0,1.0,1.0,1.0,1.0,5.211624e-09,0.005101805994441338,0.01796936102634178
133,0,1.0,1.0,1.0,1.0,1.0,1.0,6.4587525e-08,0.005028078370343725,0.017927777262559612
134,0,1.0,1.0,1.0,1.0,1.0,1.0,4.7950064e-12,0.004718459546934991,0.017981459704463097
135,0,1.0,1.0,1.0,1.0,1.0,1.0,1.1676598e-17,0.004090355606976663,0.017963495173606677
136,0,1.0,1.0,1.0,1.0,1.0,1.0,6.5117e-07,0.0049124708437244344,0.018003132261306107
137,0,1.0,1.0,1.0,1.0,1.0,1.0,2.7471776e-08,0.004073500801113082,0.018013545794710022
138,0,1.0,1.0,1.0,1.0,1.0,1.0,2.2405699e-07,0.00446813678083012,0.018005069899621595
139,0,1.0,1.0,1.0,1.0,1.0,1.0,3.2142011e-09,0.006001469300558055,0.01793772560917538
140,0,1.0,1.0,1.0,1.0,1.0,1.0,6.102789e-08,0.004293704019604232,0.017965831869061956
141,0,1.0,1.0,1.0,1.0,1.0,1.0,0.005721424,0.004497274298345229,0.017988525391207762
142,0,1.0,1.0,1.0,1.0,1.0,1.0,6.93432e-06,0.004697693231230596,0.01798988191603391
143,0,1.0,1.0,1.0,1.0,1.0,1.0,2.5625175e-08,0.005916244197053292,0.017975877299233143
144,0,1.0,1.0,1.0,1.0,1.0,1.0,0.102236636,0.0037197020862690267,0.017967834011880044
145,0,1.0,1.0,1.0,1.0,1.0,1.0,1.6611295e-05,0.0038272832991918943,0.018065426642476616
146,0,1.0,1.0,1.0,1.0,1.0,1.0,5.2972776e-10,0.003987612397514929,0.01795275230605931
147,0,1.0,1.0,1.0,1.0,1.0,1.0,5.756662e-09,0.0049879197891148815,0.017999638008799262
148,0,1.0,1.0,1.0,1.0,1.0,1.0,4.6669024e-10,0.004021704280513132,0.017967911194809838
149,0,1.0,1.0,1.0,1.0,1.0,1.0,3.2231735e-11,0.003597153302990778,0.018022856096374624
150,0,0.0,1.0,1.0,1.0,0.0,0.0,0.8195401,0.004025096778422517,0.017981744672958256
151,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0110031525,0.007077163288031444,0.017983498021426934
152,0,1.0,1.0,1.0,1.0,1.0,1.0,4.471642e-10,0.0049567609273918015,0.017958487479263645
