win_idx,label,acc_v,acc_m,acc_u,acc_mv,acc_ds_eq,acc_ds_static,P_v,P_m,P_u
0,0,1.0,0.0,1.0,1.0,0.0,0.0,9.417338e-10,0.7844078762700785,0.017992065976858047
1,0,1.0,0.0,1.0,1.0,0.0,0.0,5.796975e-05,0.7844078762853904,0.018000170949164465
2,0,1.0,0.0,1.0,1.0,0.0,0.0,1.9519184e-06,0.7844078752679089,0.018013544336247727
3,0,1.0,0.0,1.0,1.0,0.0,0.0,1.9268148e-08,0.7844078752428169,0.018013956209427865
4,0,1.0,0.0,1.0,1.0,0.0,0.0,0.005332982,0.784407876069501,0.018019312658836717
5,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0652015e-05,0.7844078762847332,0.01797449228987009
6,0,1.0,0.0,1.0,1.0,0.0,0.0,8.100364e-08,0.7844078762854648,0.01801721656907537
7,0,1.0,0.0,1.0,1.0,0.0,0.0,1.3198153e-09,0.7844078762802648,0.017952692998590744
8,0,1.0,0.0,1.0,1.0,0.0,0.0,8.454598e-11,0.7844078762738884,0.017953398313114783
9,0,1.0,0.0,1.0,1.0,0.0,0.0,4.0117196e-10,0.7844078762853243,0.017968166413296592
10,0,1.0,0.0,1.0,1.0,0.0,0.0,7.2372677e-07,0.7844078761796499,0.017964530090933697
11,0,1.0,0.0,1.0,1.0,0.0,0.0,1.8106468e-06,0.784407698393837,0.017986845124038826
12,0,1.0,0.0,1.0,1.0,0.0,0.0,2.4663765e-07,0.7844078762814991,0.018022119300735644
13,0,1.0,0.0,1.0,1.0,0.0,0.0,0.00048588798,0.7844078762854525,0.017997222401859265
14,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0010561621,0.7844078762848425,0.01800044932004102
15,0,1.0,0.0,1.0,1.0,0.0,0.0,6.2303473e-10,0.7844078762791878,0.018004726848804505
16,0,1.0,0.0,1.0,1.0,0.0,0.0,2.2863345e-08,0.7844078751126408,0.01796544878158087
17,0,1.0,0.0,1.0,1.0,0.0,0.0,5.2718548e-05,0.7844078762836844,0.018002825853056053
