win_idx,label,acc_v,acc_m,acc_u,acc_mv,acc_ds_eq,acc_ds_static,P_v,P_m,P_u
0,0,1.0,0.0,0.5166666666666667,1.0,0.0,0.0,3.048104e-10,0.7844078776457172,0.495400491730872
1,0,1.0,0.0,0.45,0.0,0.0,0.0,0.011505226,0.784407843178453,0.533998764169095
2,0,1.0,0.0,0.5833333333333334,1.0,0.0,0.0,9.3196036e-08,0.7844078761455899,0.44709465934632675
3,0,1.0,0.0,0.5833333333333334,1.0,0.0,0.0,3.6418328e-06,0.7844078762849395,0.4408001569277006
4,0,1.0,0.0,0.55,1.0,0.0,0.0,0.017475154,0.784407876285417,0.4664320153967008
5,0,1.0,0.0,0.5166666666666667,1.0,0.0,0.0,5.9370336e-07,0.7844078762777709,0.4660471530716245
6,0,1.0,0.0,0.55,1.0,0.0,0.0,7.025732e-11,0.7844077917062358,0.47004997684325794
7,0,1.0,0.0,0.4166666666666667,0.0,0.0,0.0,1.31414445e-11,0.7844078762832561,0.5663546725974183
8,0,1.0,0.0,0.5333333333333333,1.0,0.0,0.0,2.59011e-11,0.7844078762679465,0.4659414814320661
9,0,1.0,0.0,0.65,1.0,0.0,0.0,1.7624614e-06,0.7844078762839171,0.41364537603993806
10,0,1.0,0.0,0.48333333333333334,1.0,0.0,0.0,1.6493458e-06,0.7844078762848092,0.48504720924731254
11,0,1.0,0.0,0.5666666666666667,1.0,0.0,0.0,0.00044664115,0.7844078754947353,0.48207249211332653
12,0,1.0,0.0,0.65,1.0,0.0,0.0,3.6945258e-07,0.7844078762853612,0.39342182060609476
13,0,1.0,0.0,0.5833333333333334,1.0,0.0,0.0,0.021455728,0.7844078762849522,0.43702563685958157
14,0,0.0,0.0,0.5333333333333333,0.0,0.0,0.0,0.9652893,0.7844078762854515,0.48409463583296447
15,0,1.0,0.0,0.45,0.0,0.0,0.0,3.757438e-09,0.7844078762854616,0.510081335950648
16,0,1.0,0.0,0.5166666666666667,1.0,0.0,0.0,4.673155e-10,0.784407876268009,0.48721452397273174
17,0,1.0,0.0,0.55,1.0,0.0,0.0,1.4812358e-07,0.7844078762849401,0.4591973177617436
18,0,1.0,0.0,0.48333333333333334,0.0,0.0,0.0,3.5402759e-10,0.7844078760437724,0.500347105858374
19,0,1.0,0.0,0.55,1.0,0.0,0.0,1.170242e-09,0.7844078762854648,0.4729896208174841
20,0,1.0,0.0,0.5333333333333333,1.0,0.0,0.0,5.0784293e-11,0.7844078762854311,0.4639147785701466
21,0,1.0,0.0,0.5166666666666667,1.0,0.0,0.0,2.8901683e-05,0.7844078762835432,0.4861279653662921
22,0,1.0,0.0,0.6,1.0,0.0,0.0,4.9127775e-06,0.7844078709933843,0.4299403308410063
23,0,1.0,0.0,0.6833333333333333,1.0,0.0,0.0,1.6705535e-06,0.7844078762854376,0.37941167446163
24,0,1.0,0.0,0.55,1.0,0.0,0.0,0.0009812458,0.7844078756345648,0.4804349605539995
25,0,1.0,0.0,0.5166666666666667,1.0,0.0,0.0,4.008892e-05,0.7844078762854632,0.4566744720331392
26,0,1.0,0.0,0.5333333333333333,1.0,0.0,0.0,6.6340114e-08,0.7844078742357382,0.4776266950254281
27,0,1.0,0.0,0.4,0.0,0.0,0.0,1.4258592e-07,0.7844078762854646,0.5464003195992709
28,0,1.0,0.0,0.6166666666666667,1.0,0.0,0.0,1.9568872e-06,0.7844078762854155,0.43032531384298994
29,0,1.0,0.0,0.5666666666666667,1.0,0.0,0.0,3.4987766e-05,0.7844078762350188,0.4611755877747899
30,0,1.0,0.0,0.5333333333333333,1.0,0.0,0.0,0.000104194056,0.7844078762852321,0.48123214189412666
31,0,1.0,0.0,0.4666666666666667,0.0,0.0,0.0,1.0582873e-08,0.784407876285464,0.5085220077248682
32,0,1.0,0.0,0.55,1.0,0.0,0.0,0.0036250406,0.7844078762831779,0.46410641550729653
33,0,1.0,0.0,0.6,1.0,0.0,0.0,3.1327178e-07,0.7844077566617639,0.45855693199369557
34,0,1.0,0.0,0.4666666666666667,0.0,0.0,0.0,0.0012661851,0.7844078758022116,0.5275399670929162
35,0,1.0,0.23333333333333334,0.5333333333333333,0.0,0.0,0.0,8.287814e-06,0.7844078762854526,0.612733149857899
36,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9537908,0.7844078762828156,0.8197984240082862
37,1,0.0,1.0,0.95,1.0,0.0,0.0,7.2246075e-05,0.784407876285209,0.7760093538069112
38,1,1.0,1.0,0.9333333333333333,1.0,1.0,1.0,0.98972684,0.7844078762808891,0.7840978834676466
39,1,1.0,1.0,0.9666666666666667,1.0,1.0,1.0,0.9959676,0.7844078762851877,0.8195227538405946
40,1,1.0,1.0,0.9666666666666667,1.0,1.0,1.0,0.99948174,0.7844078747752156,0.8472322412375435
41,1,1.0,1.0,0.9166666666666666,1.0,1.0,1.0,0.99999726,0.7844078762240874,0.8292489905435996
42,1,0.0,1.0,0.9166666666666666,1.0,0.0,0.0,8.8216315e-05,0.7844078760453558,0.8035363553465189
43,1,1.0,1.0,0.9166666666666666,1.0,1.0,1.0,0.9999995,0.7844053414284122,0.784133170251303
44,1,1.0,1.0,0.9166666666666666,1.0,1.0,1.0,0.99999964,0.7844078430342755,0.815423367420965
45,1,1.0,1.0,0.9333333333333333,1.0,1.0,1.0,0.9993801,0.7844078734200206,0.801506469109907
46,1,1.0,1.0,0.95,1.0,1.0,1.0,1.0,0.7844078701280917,0.8078379095319105
47,1,1.0,1.0,0.95,1.0,1.0,1.0,1.0,0.7844078758471132,0.7824251816793129
48,1,1.0,1.0,0.9333333333333333,1.0,1.0,1.0,0.9999999,0.7844078759775605,0.7802657170896011
49,1,0.0,1.0,0.8833333333333333,1.0,0.0,0.0,4.234625e-06,0.7844037150929066,0.827785531103822
50,1,1.0,1.0,1.0,1.0,0.0,1.0,0.86699307,0.7844078746455747,0.8427837856766884
51,1,1.0,1.0,0.9333333333333333,1.0,1.0,1.0,1.0,0.7844078282556529,0.831190503361449
52,1,1.0,1.0,0.95,1.0,1.0,1.0,1.0,0.784346946364996,0.7843409128237426
53,1,1.0,1.0,0.95,1.0,1.0,1.0,0.9999988,0.7844078313953787,0.7918015570621418
54,1,1.0,1.0,0.8833333333333333,1.0,1.0,1.0,0.98218954,0.7844075403150855,0.7992546701363347
55,1,1.0,1.0,0.9166666666666666,1.0,1.0,1.0,0.9390104,0.7842376271426824,0.835325875433267
56,1,0.0,1.0,0.95,1.0,0.0,0.0,0.18444647,0.7844062939535766,0.800481283058827
57,1,1.0,1.0,0.9666666666666667,1.0,1.0,1.0,0.9992743,0.7844078630676298,0.8334501607804436
58,1,1.0,1.0,0.9666666666666667,1.0,1.0,1.0,0.97280335,0.784406108716784,0.8446683118386272
59,1,0.0,1.0,0.9166666666666666,1.0,0.0,0.0,0.013498975,0.7843455053013751,0.8080951442398914
60,1,1.0,1.0,0.9666666666666667,1.0,1.0,1.0,0.99999917,0.7844060733701763,0.8675133770134955
61,1,0.0,1.0,0.95,1.0,0.0,0.0,2.3514164e-09,0.7843006938235658,0.8036514655285459
62,1,1.0,1.0,0.9,1.0,0.0,1.0,0.9687028,0.7844077145280536,0.7545933348548586
63,1,0.0,1.0,0.95,1.0,0.0,0.0,0.00024340105,0.7844071128003852,0.7714555117969417
64,1,1.0,1.0,0.9333333333333333,1.0,1.0,1.0,0.99678314,0.7844077839675918,0.8218002839160455
65,1,0.0,1.0,0.95,1.0,0.0,0.0,0.0118030375,0.7844078691348089,0.8049721184364638
66,1,1.0,1.0,0.9333333333333333,1.0,1.0,1.0,0.95344895,0.7844076595368643,0.8153123609970252
67,1,1.0,1.0,0.9,1.0,1.0,1.0,0.99999976,0.7844078189740239,0.7812442610070145
68,1,1.0,1.0,0.9666666666666667,1.0,1.0,1.0,0.9999726,0.7844078265705183,0.7722980151587683
69,1,1.0,1.0,0.9833333333333333,1.0,1.0,1.0,0.99996793,0.78440781235888,0.7992206569232466
70,1,1.0,1.0,0.9333333333333333,1.0,1.0,1.0,0.9999893,0.784407873908884,0.8250968506330414
71,1,1.0,1.0,0.9166666666666666,1.0,1.0,1.0,0.9999776,0.7844070791214796,0.8052598390736866
72,1,1.0,1.0,0.9666666666666667,1.0,1.0,1.0,0.999982,0.7844078719559611,0.8376811258808484
73,1,1.0,1.0,0.9333333333333333,1.0,1.0,1.0,0.9994837,0.7844077947555463,0.8304581648708717
74,1,0.0,1.0,0.9666666666666667,1.0,0.0,0.0,0.0004846257,0.7844076745447764,0.8385582465931359
75,1,1.0,1.0,0.9333333333333333,1.0,1.0,1.0,0.97878265,0.7844077843486582,0.7762537700800248
76,1,0.0,1.0,0.9333333333333333,1.0,0.0,0.0,7.429829e-11,0.7843965834275692,0.7872200501217768
77,1,1.0,1.0,1.0,1.0,1.0,1.0,0.99999666,0.7844077685860082,0.809339966775679
78,1,1.0,1.0,0.9833333333333333,1.0,1.0,1.0,0.99997675,0.7844067288506881,0.832423102306337
79,1,0.0,1.0,0.95,1.0,0.0,0.0,0.3393487,0.7844024082221099,0.7965776800331835
80,1,0.0,1.0,0.9166666666666666,1.0,0.0,0.0,0.0025164117,0.7844078395140917,0.8415762031288808
81,1,0.0,1.0,0.9833333333333333,1.0,0.0,0.0,0.0013872175,0.784407822355774,0.8337594198796473
82,1,1.0,1.0,0.9833333333333333,1.0,1.0,1.0,1.0,0.7844078506085823,0.8509645744453033
83,1,1.0,1.0,0.9333333333333333,1.0,1.0,1.0,1.0,0.7842135735525758,0.8085163563878794
84,1,1.0,1.0,0.9666666666666667,1.0,1.0,1.0,1.0,0.7843969120345567,0.8590589096201899
85,1,1.0,1.0,0.9333333333333333,1.0,1.0,1.0,0.99955684,0.7844071161553401,0.853415301726774
86,1,1.0,1.0,1.0,1.0,1.0,1.0,0.99898463,0.7844076542794111,0.8331053398715658
87,1,1.0,1.0,1.0,1.0,1.0,1.0,0.93177676,0.7844045568302853,0.818463929813344
88,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9996257,0.7844073978857803,0.8097668156363315
89,1,1.0,1.0,0.95,1.0,0.0,1.0,0.9308233,0.7844078723195657,0.7999482463982563
90,1,0.0,1.0,0.9833333333333333,1.0,0.0,0.0,0.0010204804,0.7844010644630995,0.8504537199787305
91,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999,0.7843957742361904,0.8463183385026039
92,1,0.0,1.0,0.9833333333333333,1.0,0.0,0.0,0.4408899,0.7844117861063885,0.7948961500479093
93,1,0.0,1.0,0.85,1.0,0.0,0.0,8.504224e-06,0.7844078708507344,0.7783879263312029
94,1,1.0,1.0,0.9666666666666667,1.0,1.0,1.0,0.9795706,0.7844078762489382,0.8246703653892093
95,1,1.0,1.0,0.9666666666666667,1.0,0.0,0.0,0.64334947,0.7844094383353089,0.8310289655508749
96,1,1.0,1.0,0.9666666666666667,1.0,1.0,1.0,1.0,0.784407543017959,0.8008155951050637
97,1,1.0,1.0,0.9333333333333333,1.0,1.0,1.0,0.99999774,0.7844078670895281,0.7841747477901877
98,1,1.0,1.0,0.95,1.0,0.0,0.0,0.7711348,0.7844075064241528,0.8090072407126517
99,1,0.0,1.0,0.9333333333333333,1.0,0.0,0.0,0.008052905,0.7844075198325741,0.8288485141035814
100,1,0.0,1.0,0.9333333333333333,1.0,0.0,0.0,0.10879114,0.7844078301324644,0.834154494803561
101,1,1.0,1.0,0.9333333333333333,1.0,1.0,1.0,0.9999937,0.7844078744215158,0.8242733013962558
102,1,0.0,1.0,0.95,1.0,0.0,0.0,0.020228488,0.7844078888479482,0.8421231160321693
103,1,0.0,1.0,0.9666666666666667,1.0,0.0,0.0,0.017224703,0.784407875484405,0.8323368664811855
104,1,1.0,1.0,0.9166666666666666,1.0,1.0,1.0,0.9996704,0.784407870146379,0.8262069374892723
105,1,1.0,1.0,0.9666666666666667,1.0,0.0,0.0,0.79987925,0.7844078559174748,0.8362140941322355
106,1,1.0,0.9166666666666666,0.8833333333333333,1.0,1.0,1.0,1.0,0.7844078489987726,0.7747090268620865
107,1,0.0,1.0,0.9666666666666667,1.0,0.0,0.0,8.237078e-09,0.7844077328818442,0.8128494730309016
108,1,1.0,1.0,0.95,1.0,0.0,1.0,0.9619972,0.7844047222804504,0.7688848614999986
109,1,1.0,1.0,0.9333333333333333,1.0,1.0,1.0,0.9999813,0.7844078025900992,0.7884739001140696
110,1,1.0,1.0,0.95,1.0,1.0,1.0,0.98108864,0.7844084608867531,0.8135743923194784
111,1,0.0,1.0,0.9333333333333333,1.0,0.0,0.0,2.186707e-05,0.7844061246528882,0.751139032577093
112,1,1.0,1.0,0.9666666666666667,1.0,1.0,1.0,0.99999,0.7844078694253417,0.8090411207159918
113,1,0.0,1.0,0.9166666666666666,1.0,0.0,0.0,0.0062387814,0.7844076168128933,0.799962451597952
114,1,1.0,1.0,0.95,1.0,0.0,1.0,0.9255691,0.7844078689604591,0.799006476838135
115,1,1.0,1.0,0.9666666666666667,1.0,1.0,1.0,1.0,0.7844032636408825,0.8408492313888949
116,1,1.0,1.0,0.95,1.0,1.0,1.0,0.9767644,0.7844078724154708,0.7990447320390487
117,1,1.0,1.0,0.9166666666666666,1.0,1.0,1.0,0.97610337,0.7844078200907906,0.8061363135261976
118,1,0.0,1.0,0.9333333333333333,1.0,0.0,0.0,4.5827655e-06,0.7844077810101088,0.7896504677200967
119,1,1.0,1.0,1.0,1.0,1.0,1.0,0.96107656,0.7844073696710665,0.8161751555213309
120,1,1.0,1.0,0.95,1.0,1.0,1.0,1.0,0.7844077137464583,0.8248405166845186
121,1,0.0,1.0,0.9166666666666666,1.0,0.0,0.0,0.0034900683,0.7844076814118498,0.8073314993012976
122,1,1.0,1.0,0.9666666666666667,1.0,1.0,1.0,0.99684083,0.784407964923542,0.8167439116923971
123,1,0.0,1.0,0.8833333333333333,1.0,0.0,0.0,0.03156211,0.7844078758633111,0.8086674147583602
124,1,1.0,1.0,0.9333333333333333,1.0,1.0,1.0,1.0,0.7844078703315789,0.808862431371572
125,1,1.0,1.0,1.0,1.0,0.0,0.0,0.60092634,0.7844078745155911,0.7990141587085746
126,1,1.0,1.0,0.95,1.0,1.0,1.0,0.9661515,0.784411231154529,0.8026968354110546
127,1,0.0,1.0,0.9,1.0,0.0,0.0,3.9977793e-10,0.7844088163262328,0.8110493572233891
128,1,1.0,1.0,0.9833333333333333,1.0,1.0,1.0,0.99999976,0.7844078762631406,0.8440838413815023
129,1,0.0,0.7666666666666667,0.8666666666666667,1.0,0.0,0.0,0.006639836,0.7844078762913708,0.7136503854465079
130,0,1.0,0.0,0.48333333333333334,0.0,0.0,0.0,7.5834635e-07,0.7844078677737679,0.5076335055442477
131,0,1.0,0.0,0.38333333333333336,0.0,0.0,0.0,4.4385934e-06,0.7844078762850729,0.5797862778698252
132,0,1.0,0.0,0.65,1.0,0.0,0.0,1.086795e-07,0.784407876285276,0.39801772077473435
133,0,1.0,0.0,0.4,0.0,0.0,0.0,7.0067623e-09,0.7844078762854632,0.5491152751487738
134,0,1.0,0.0,0.6,1.0,0.0,0.0,4.5025317e-09,0.7844076803379708,0.4258982325797343
135,0,1.0,0.0,0.6,1.0,0.0,0.0,3.655474e-09,0.7844078762854575,0.4530227560517099
136,0,1.0,0.0,0.65,1.0,0.0,0.0,6.08467e-07,0.784407876285398,0.39404840379359374
137,0,1.0,0.0,0.43333333333333335,0.0,0.0,0.0,2.978112e-07,0.7844078762854582,0.5540656085975367
138,0,1.0,0.0,0.5166666666666667,1.0,0.0,0.0,1.5533495e-06,0.7844078762854647,0.4864460218639622
139,0,1.0,0.0,0.5833333333333334,1.0,0.0,0.0,3.0461896e-07,0.7844078762539223,0.43722287762914175
140,0,1.0,0.0,0.5166666666666667,1.0,0.0,0.0,1.8324863e-06,0.7844078762854438,0.48481340399245204
141,0,1.0,0.0,0.6,1.0,0.0,0.0,4.7919824e-05,0.7844078762697088,0.41534315562313756
142,0,1.0,0.0,0.6166666666666667,1.0,0.0,0.0,2.7648083e-08,0.7844078762846425,0.43800377442741334
143,0,1.0,0.0,0.4166666666666667,0.0,0.0,0.0,2.1946741e-07,0.7844078762852751,0.5553451380805995
144,0,1.0,0.0,0.5333333333333333,1.0,0.0,0.0,0.06039131,0.7844078762843015,0.4709981615889429
145,0,1.0,0.0,0.5833333333333334,1.0,0.0,0.0,1.5815746e-09,0.7844078762854624,0.44363115933510483
146,0,1.0,0.0,0.55,1.0,0.0,0.0,1.2018407e-09,0.7844078762726191,0.4785354296613115
147,0,1.0,0.0,0.5333333333333333,1.0,0.0,0.0,9.314606e-13,0.7844078762848208,0.4860231949952775
148,0,1.0,0.0,0.6,1.0,0.0,0.0,2.8438902e-09,0.7844078762849603,0.4595218043943096
149,0,1.0,0.0,0.6833333333333333,1.0,0.0,0.0,3.8861506e-13,0.7844078760849306,0.39141999668990185
150,0,1.0,0.0,0.6166666666666667,1.0,0.0,0.0,8.428297e-05,0.7844078762853471,0.40675189899555575
151,0,1.0,0.0,0.5666666666666667,1.0,0.0,0.0,8.230894e-08,0.7844078762854646,0.45257285807492525
152,0,1.0,0.0,0.5666666666666667,1.0,0.0,0.0,1.6476205e-08,0.7844078762843775,0.47009995295397494
153,0,1.0,0.0,0.5833333333333334,1.0,0.0,0.0,3.227715e-10,0.7844078762838081,0.4589801449153898
154,0,1.0,0.0,0.5166666666666667,1.0,0.0,0.0,1.1994207e-05,0.7844078762853076,0.49523338704639613
