win_idx,label,acc_v,acc_m,acc_u,acc_mv,acc_ds_eq,acc_ds_static,P_v,P_m,P_u
0,0,1.0,0.0,0.75,1.0,0.0,0.0,1.1540922e-08,0.839850182500667,0.27674149553284266
1,0,1.0,0.0,0.6166666666666667,1.0,0.0,0.0,0.0034682753,0.994801450615379,0.33454370201658507
2,0,1.0,0.0,0.6833333333333333,1.0,0.0,0.0,1.2518643e-08,0.99999999999997,0.2821695718671991
3,0,1.0,0.1,0.6,1.0,0.0,0.0,0.00018642865,0.89652337658801,0.3635184560437534
4,0,1.0,0.9666666666666667,0.6833333333333333,1.0,1.0,1.0,0.028999906,0.08109281910928041,0.30376580806223785
5,0,1.0,1.0,0.6833333333333333,1.0,1.0,1.0,5.284408e-05,0.006554620038462661,0.3141605393956299
6,0,1.0,1.0,0.6,1.0,1.0,1.0,4.686082e-09,0.004318657885664629,0.35128168979465396
7,0,1.0,1.0,0.7,1.0,1.0,1.0,8.853349e-11,0.005121983998761697,0.3071494546866224
8,0,1.0,1.0,0.7,1.0,1.0,1.0,1.0405564e-10,0.003922954665195609,0.30117433913075875
9,0,1.0,1.0,0.6166666666666667,1.0,1.0,1.0,2.075353e-07,0.004153902950361764,0.31599533230896676
10,0,1.0,1.0,0.6833333333333333,1.0,1.0,1.0,1.930161e-05,0.00433462832071326,0.3055990423236917
11,0,1.0,1.0,0.7166666666666667,1.0,1.0,1.0,2.7748183e-05,0.003753671826347465,0.2774416241410839
12,0,1.0,1.0,0.55,1.0,1.0,1.0,5.7751845e-07,0.003979403098379273,0.3636458371295244
13,0,1.0,1.0,0.65,1.0,1.0,1.0,0.027469927,0.004870378471457047,0.2801567509946722
14,0,1.0,1.0,0.7666666666666667,1.0,1.0,1.0,7.5349334e-08,0.0041921068479190415,0.28219957093188064
15,0,1.0,1.0,0.7,1.0,1.0,1.0,4.7232024e-10,0.004627965667863231,0.2917362402999206
16,0,1.0,1.0,0.6,1.0,1.0,1.0,1.5722567e-09,0.004666867796087688,0.35791703792933355
17,0,1.0,1.0,0.7,1.0,1.0,1.0,3.1724262e-06,0.0036378299651693385,0.27324197492565705
18,0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,7.058936e-11,0.006280357764048681,0.31996964540612
19,0,1.0,1.0,0.7,1.0,1.0,1.0,1.5029543e-07,0.0037750224156265053,0.286463406186089
20,0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,3.5702363e-13,0.00409762319914547,0.32305644733548006
21,0,1.0,1.0,0.7166666666666667,1.0,1.0,1.0,1.7341891e-06,0.005210094820059104,0.2925003863891852
22,0,1.0,1.0,0.7833333333333333,1.0,1.0,1.0,1.7343632e-07,0.0043024830846820124,0.25135964262750776
23,0,1.0,1.0,0.6333333333333333,1.0,1.0,1.0,0.0016577739,0.004168408108850579,0.3383968366453448
24,0,0.0,1.0,0.6833333333333333,1.0,0.0,0.0,0.71128494,0.00537609542270949,0.29692600512817185
25,0,1.0,1.0,0.7333333333333333,1.0,1.0,1.0,0.04664919,0.0036631320616321173,0.26113822594443836
