win_idx,label,acc_v,acc_m,acc_u,acc_mv,acc_ds_eq,acc_ds_static,acc_ours,P_v,P_m,P_u,w_v,w_m,w_u
0,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.2862873e-11,0.99905212703912,0.017983599099547633,0.9981243980711986,0.9525741268224334,0.9890130573694068
1,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,6.63057e-08,0.9989604875620814,0.017999777609842133,0.9989697674119054,0.9525741268224334,0.9890130573694068
2,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.101996884,0.998404998304451,0.017980979121394392,0.9949203724076301,0.9525741268224334,0.9890130573694068
3,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,5.204584e-07,0.9974007725071571,0.017994153186201463,0.995089026466219,0.9525741268224334,0.9890130573694068
4,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.002682e-14,0.9971467515980624,0.0180109061957665,0.997773604373335,0.9525741268224334,0.9890130573694068
5,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.9297019e-08,0.996973785827908,0.018005712824834454,0.9976896137688731,0.9525741268224334,0.9890130573694068
6,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,9.443865e-11,0.9946883977740508,0.018015482250310706,0.9990053344884574,0.9525741268224334,0.9890130573694068
7,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.2128203e-07,0.9982839648476076,0.018032861524962716,0.9938498234649357,0.9525741268224334,0.9890130573694068
8,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,6.0320206e-13,0.9950883254744595,0.01796670669012481,0.9992228857414609,0.9525741268224334,0.9890130573694068
9,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,4.3131754e-10,0.9954291102327985,0.018003781775759255,0.9999629775814081,0.9525741268224334,0.9890130573694068
10,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.9420555e-09,0.9968705754158133,0.01798663003310763,0.9975517672615839,0.9525741268224334,0.9890130573694068
11,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0130706e-10,0.9963830704013439,0.017943840566480348,0.9210911024844174,0.9525741268224334,0.9890130573694068
12,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,5.0328166e-12,0.996109306671476,0.01796371560326277,0.9971366053115113,0.9525741268224334,0.9890130573694068
13,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.5228636e-06,0.9957619220813826,0.017958719216350845,0.9944773913507834,0.9525741268224334,0.9890130573694068
14,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.00046512013,0.9967854380730227,0.017937100262131262,0.9962567110645182,0.9525741268224334,0.9890130573694068
15,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.4379879e-05,0.995422117166743,0.017943099323066695,0.863349830276401,0.9525741268224334,0.9890130573694068
16,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9470502,0.9962122363735685,0.018018339276010032,0.9969701184351536,0.9525741268224334,0.9890130573694068
17,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.5845124e-09,0.9962737172574627,0.018030149930407986,0.9977643406632561,0.9525741268224334,0.9890130573694068
18,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,7.123883e-12,0.9983058345223196,0.017977421674398694,0.9384416007177884,0.9525741268224334,0.9890130573694068
19,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,8.930678e-13,0.9967194194643377,0.01793471341419194,0.9992624191965659,0.9525741268224334,0.9890130573694068
20,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0287807e-11,0.9976210211791461,0.018026880503779152,0.9987269915114377,0.9525741268224334,0.9890130573694068
21,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.17858e-11,0.9956438541621518,0.018000857479563252,0.6124602581392218,0.9525741268224334,0.9890130573694068
22,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0009685895,0.9976237684063405,0.018004540781351618,0.9940552882031537,0.9525741268224334,0.9890130573694068
23,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,8.056608e-11,0.999146032654781,0.018011160834375484,0.9998727171931,0.9525741268224334,0.9890130573694068
24,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,5.209144e-11,0.9973222745142494,0.01797045040202643,0.9989851702585082,0.9525741268224334,0.9890130573694068
25,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0007418377,0.9974793353582412,0.01800694394025431,0.9979096703880043,0.9525741268224334,0.9890130573694068
26,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.4350312e-12,0.9974926207981007,0.01801368071388895,0.9995000491186564,0.9525741268224334,0.9890130573694068
27,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,7.574262e-14,0.9973360225770374,0.017970306518241982,0.8686148210154644,0.9525741268224334,0.9890130573694068
28,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.4350312e-12,0.994506864115459,0.017966158959989476,0.9995000491186564,0.9525741268224334,0.9890130573694068
29,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,7.380884e-08,0.9956458011009077,0.018009917154296996,0.9886473111650002,0.9525741268224334,0.9890130573694068
30,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,3.1385766e-13,0.9955822356786269,0.01799848196471161,0.9999645322527106,0.9525741268224334,0.9890130573694068
31,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.000121736295,0.9954905069969128,0.01800534100244194,0.9417203491157764,0.9525741268224334,0.9890130573694068
32,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,5.4541138e-06,0.9958036745725511,0.018017869961445436,0.9561866473815563,0.9525741268224334,0.9890130573694068
33,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.5808145e-05,0.996663116959104,0.018002153392372752,0.8402784878844853,0.9525741268224334,0.9890130573694068
34,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,7.100475e-07,0.996809024997933,0.018022834463977917,0.9787355161457602,0.9525741268224334,0.9890130573694068
35,0,1.0,0.21666666666666667,1.0,1.0,0.0,0.0,1.0,1.0330953e-13,0.967595085983854,0.23868876055271535,0.9944626925641986,0.9525741268224334,0.9890130573694068
36,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9588412752636973,0.9640802022031237,0.9409100867230761,0.9525741268224334,0.9890130573694068
37,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9464445414739692,0.9640429831853325,0.9981522710939138,0.9525741268224334,0.9890130573694068
38,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9630786849720557,0.96401179237062,0.8974429012862986,0.9525741268224334,0.9890130573694068
39,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.945320668405492,0.9640783140655759,0.9072925059983022,0.9525741268224334,0.9890130573694068
40,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99999845,0.9602390053446357,0.9641349741139043,0.9990832502990729,0.9525741268224334,0.9890130573694068
41,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9640492094993232,0.9641585863982269,0.9503783446684738,0.9525741268224334,0.9890130573694068
42,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99956864,0.9490543300238732,0.9641360950809239,0.9800274578894133,0.9525741268224334,0.9890130573694068
43,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9866621,0.9605285623156546,0.9640913736824875,0.996356961904783,0.9525741268224334,0.9890130573694068
44,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9344753,0.9597434972727773,0.9640658963451442,0.9994521146853734,0.9525741268224334,0.9890130573694068
45,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9779666475048595,0.9639298209624165,0.9762129978175753,0.9525741268224334,0.9890130573694068
46,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9625313021800992,0.9640171788024848,0.9944629846456164,0.9525741268224334,0.9890130573694068
47,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9700850856931884,0.9641141240469959,0.9993932485049729,0.9525741268224334,0.9890130573694068
48,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9607888720085233,0.9639297045319845,0.9906087408078527,0.9525741268224334,0.9890130573694068
49,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999989,0.9880982385135505,0.9640261050103994,0.9981671179996457,0.9525741268224334,0.9890130573694068
50,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.954763917178471,0.9641225694850762,0.9832106537164823,0.9525741268224334,0.9890130573694068
51,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999,0.9825438433357383,0.963973433437895,0.8652812347798913,0.9525741268224334,0.9890130573694068
52,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99996686,0.9743006653795158,0.9640789205947828,0.9848579002532036,0.9525741268224334,0.9890130573694068
53,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9744095964472631,0.9641334326690056,0.9997872816964565,0.9525741268224334,0.9890130573694068
54,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9993352,0.9858773759365549,0.964096260328566,0.9748739174979452,0.9525741268224334,0.9890130573694068
55,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9689656999516512,0.9640737436542801,0.9995018187786445,0.9525741268224334,0.9890130573694068
56,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9615977934923428,0.9641091818712066,0.9171058313760776,0.9525741268224334,0.9890130573694068
57,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99996245,0.9403188515473171,0.9640817307572251,0.9993071863799787,0.9525741268224334,0.9890130573694068
58,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999869,0.967884366360677,0.9640006561181449,0.9747160573614366,0.9525741268224334,0.9890130573694068
59,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99924254,0.9152511702159984,0.9641536902137587,0.9985192374703561,0.9525741268224334,0.9890130573694068
60,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999994,0.9164820644171593,0.9641119262647924,0.9965733045388574,0.9525741268224334,0.9890130573694068
61,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9199479712143537,0.9641360124303194,0.9846660731489878,0.9525741268224334,0.9890130573694068
62,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9538067642950242,0.9640668304867266,0.4836659450397039,0.9525741268224334,0.9890130573694068
63,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999317,0.932610754012921,0.9640193978649416,0.9991593409317873,0.9525741268224334,0.9890130573694068
64,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999982,0.9280332263564833,0.9640948753970825,0.9761928213169195,0.9525741268224334,0.9890130573694068
65,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9132511842231802,0.9640767342533081,0.9980476927783568,0.9525741268224334,0.9890130573694068
66,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999945,0.8792520315586394,0.9640741712276811,0.7287134079460807,0.9525741268224334,0.9890130573694068
67,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999995,0.8852268633206732,0.9641568086273641,0.9616551689529641,0.9525741268224334,0.9890130573694068
68,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99999976,0.8844757016839844,0.9640396106827541,0.9115710946153217,0.9525741268224334,0.9890130573694068
69,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9951102,0.907875086390807,0.9640833853498939,0.9998639121269547,0.9525741268224334,0.9890130573694068
70,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8894100834243203,0.9641151317333186,0.9368355682767364,0.9525741268224334,0.9890130573694068
71,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99999106,0.908666776105311,0.9641329757626581,0.9989421512251961,0.9525741268224334,0.9890130573694068
72,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9104271363007622,0.9641299134398867,0.9987856151845251,0.9525741268224334,0.9890130573694068
73,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8855832595493588,0.9640336504824337,0.9997803300375719,0.9525741268224334,0.9890130573694068
74,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9217271936618311,0.9639908960859871,0.9601301543289079,0.9525741268224334,0.9890130573694068
75,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9050967710420367,0.9640606891368291,0.9995621995095887,0.9525741268224334,0.9890130573694068
76,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9127368490019486,0.9641010215452618,0.9754186845194424,0.9525741268224334,0.9890130573694068
77,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99999774,0.8969350512903493,0.9640442452280203,0.9477928356614579,0.9525741268224334,0.9890130573694068
78,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99978083,0.9133926028575382,0.9640655064470895,0.9828918036425334,0.9525741268224334,0.9890130573694068
79,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9522386577091602,0.9640464243280314,0.9929601146612378,0.9525741268224334,0.9890130573694068
80,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9380042763730272,0.9640481028938779,0.9906978050092029,0.9525741268224334,0.9890130573694068
81,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99999976,0.955857540558653,0.9641649674018092,0.9703631330630295,0.9525741268224334,0.9890130573694068
82,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9486909063217552,0.9641355724169228,0.984560492979323,0.9525741268224334,0.9890130573694068
83,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9335331463372868,0.9641486702666611,0.999600625903462,0.9525741268224334,0.9890130573694068
84,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999993,0.9015613883280432,0.9640527039791859,0.9968474743923036,0.9525741268224334,0.9890130573694068
85,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9997571,0.9000995598254292,0.9641225079787222,0.9276566667466671,0.9525741268224334,0.9890130573694068
86,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9197482405637468,0.9640863181899277,0.875600586281366,0.9525741268224334,0.9890130573694068
87,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9311527284917187,0.96415610193814,0.953540421649482,0.9525741268224334,0.9890130573694068
88,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9061457839550655,0.9641216666951207,0.9969257462309553,0.9525741268224334,0.9890130573694068
89,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9326386356503249,0.9640788244413192,0.9996242969765596,0.9525741268224334,0.9890130573694068
90,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98029023,0.9492853150289183,0.9640486642642461,0.999864722282681,0.9525741268224334,0.9890130573694068
91,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99999964,0.9277216736260402,0.9640324109006017,0.9979356050469235,0.9525741268224334,0.9890130573694068
92,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99999976,0.8694514602617499,0.964086255860351,0.9678897580837077,0.9525741268224334,0.9890130573694068
93,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9179098190606383,0.9640456510198625,0.9947963100242637,0.9525741268224334,0.9890130573694068
94,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99909043,0.9029792392849353,0.9640626218696824,0.9267641762667997,0.9525741268224334,0.9890130573694068
95,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8993784364433938,0.964057784141349,0.9915251274907846,0.9525741268224334,0.9890130573694068
96,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8916467159865301,0.9640126111203863,0.7411985141936639,0.9525741268224334,0.9890130573694068
97,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9022774360150826,0.9640695929216232,0.9999164058215615,0.9525741268224334,0.9890130573694068
98,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999995,0.8930303549918727,0.9640737781407236,0.9999389138708394,0.9525741268224334,0.9890130573694068
99,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99846715,0.9062883268883947,0.9641772515908519,0.9563257710675098,0.9525741268224334,0.9890130573694068
100,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.897695794526285,0.9640467110090888,0.999202832985173,0.9525741268224334,0.9890130573694068
101,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.891576859639257,0.9641354040559308,0.9889897313430621,0.9525741268224334,0.9890130573694068
102,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.89048526926817,0.9641396380939529,0.9656694825543433,0.9525741268224334,0.9890130573694068
103,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8772674938543121,0.9640597774643194,0.9716732917171034,0.9525741268224334,0.9890130573694068
104,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793277421387898,0.9641197159382356,0.963983334901068,0.9525741268224334,0.9890130573694068
105,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8604237443910905,0.9640536500688183,0.993185255462296,0.9525741268224334,0.9890130573694068
106,1,1.0,0.9166666666666666,1.0,1.0,1.0,1.0,1.0,0.99999917,0.8916289627658457,0.8938213658153714,0.9228025361256935,0.9525741268224334,0.9890130573694068
107,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999,0.951494401120753,0.9945332240013899,0.966659758110352,0.9525741268224334,0.9890130573694068
108,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99942786,0.9236642075768395,0.9945154826311059,0.7877955703325484,0.9525741268224334,0.9890130573694068
109,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9335937245914736,0.994520636585736,0.9754404107408607,0.9525741268224334,0.9890130573694068
110,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99592495,0.9395401716504675,0.9945426938328643,0.9558494990785062,0.9525741268224334,0.9890130573694068
111,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99950445,0.9654382086162874,0.9945351115825477,0.9977927047320769,0.9525741268224334,0.9890130573694068
112,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9567574873853554,0.9945344920947761,0.9976547150661391,0.9525741268224334,0.9890130573694068
113,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9815666546794709,0.9945337452195309,0.999928678261195,0.9525741268224334,0.9890130573694068
114,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9832246132676354,0.9945286718982048,0.9443634466745817,0.9525741268224334,0.9890130573694068
115,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99999964,0.9754757952969195,0.9945329184508114,0.9979356050469235,0.9525741268224334,0.9890130573694068
116,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9794166985100712,0.9945221707711087,0.9475763399486578,0.9525741268224334,0.9890130573694068
117,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9734704581120314,0.994528718738935,0.9994110274828056,0.9525741268224334,0.9890130573694068
118,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9513440584419309,0.9945251835174308,0.8850734091184727,0.9525741268224334,0.9890130573694068
119,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9302589847580516,0.9945248439771422,0.9985117554357643,0.9525741268224334,0.9890130573694068
120,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9989341,0.9229170727707355,0.9945346418562035,0.9603515077435356,0.9525741268224334,0.9890130573694068
121,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999,0.8921906952438428,0.9945499258776563,0.9957479829237773,0.9525741268224334,0.9890130573694068
122,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8892686598655659,0.9945118124016814,0.9951480158457396,0.9525741268224334,0.9890130573694068
123,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99999976,0.9092750619784193,0.9945345124062545,0.9331994255903383,0.9525741268224334,0.9890130573694068
124,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9316767347137784,0.9945287560843454,0.9997811453437497,0.9525741268224334,0.9890130573694068
