win_idx,label,acc_v,acc_m,acc_u,acc_mv,acc_ds_eq,acc_ds_static,acc_ours,P_v,P_m,P_u,w_v,w_m,w_u
0,0,1.0,0.0,0.7333333333333333,1.0,0.0,0.0,1.0,2.2862873e-11,0.9999999982232303,0.2286861761148345,0.9981243980711986,0.9820137900379085,0.3775406687981454
1,0,1.0,0.016666666666666666,0.8333333333333334,1.0,0.0,0.0,1.0,6.63057e-08,0.9726953940378927,0.163363542974592,0.9989697674119054,0.9820137900379085,0.3775406687981454
2,0,1.0,0.06666666666666667,0.65,1.0,0.0,0.0,1.0,0.101996884,0.8459327503564962,0.293328948291841,0.9949203724076301,0.9820137900379085,0.3775406687981454
3,0,1.0,0.15,0.65,1.0,0.0,0.0,1.0,5.204584e-07,0.7822889712416005,0.284501575286439,0.995089026466219,0.9820137900379085,0.3775406687981454
4,0,1.0,0.11666666666666667,0.7833333333333333,1.0,0.0,0.0,1.0,1.002682e-14,0.7546057565398463,0.19017702053816052,0.997773604373335,0.9820137900379085,0.3775406687981454
5,0,1.0,0.1,0.65,1.0,0.0,0.0,1.0,1.9297019e-08,0.8110874237884734,0.2977055775519473,0.9976896137688731,0.9820137900379085,0.3775406687981454
6,0,1.0,0.2,0.7166666666666667,1.0,0.0,0.0,1.0,9.443865e-11,0.7246789825145564,0.22783313760710522,0.9990053344884574,0.9820137900379085,0.3775406687981454
7,0,1.0,0.21666666666666667,0.6333333333333333,1.0,0.0,0.0,1.0,1.2128203e-07,0.7107853197883462,0.29292005889406636,0.9938498234649357,0.9820137900379085,0.3775406687981454
8,0,1.0,0.15,0.65,1.0,0.0,0.0,1.0,6.0320206e-13,0.7679170207128495,0.26869846795805086,0.9992228857414609,0.9820137900379085,0.3775406687981454
9,0,1.0,0.21666666666666667,0.7333333333333333,1.0,0.0,0.0,1.0,4.3131754e-10,0.7228587170304859,0.22670964078413913,0.9999629775814081,0.9820137900379085,0.3775406687981454
10,0,1.0,0.23333333333333334,0.7,1.0,0.0,0.0,1.0,2.9420555e-09,0.7242051469515651,0.2582920914825789,0.9975517672615839,0.9820137900379085,0.3775406687981454
11,0,1.0,0.13333333333333333,0.65,1.0,0.0,0.0,1.0,1.0130706e-10,0.7489887250613918,0.27860806374168673,0.9210911024844174,0.9820137900379085,0.3775406687981454
12,0,1.0,0.21666666666666667,0.8,1.0,0.0,0.0,1.0,5.0328166e-12,0.6816035062931118,0.1885678263557571,0.9971366053115113,0.9820137900379085,0.3775406687981454
