win_idx,label,acc_v,acc_m,acc_u,acc_mv,acc_ds_eq,acc_ds_static,acc_ours,P_v,P_m,P_u,w_v,w_m,w_u
0,0,1.0,0.0,0.2833333333333333,0.0,0.0,0.0,1.0,2.2862873e-11,0.9999999999971453,0.6008075583430781,0.9981243980711986,0.9933071490757153,0.1
1,0,1.0,0.31666666666666665,0.2,0.0,0.0,0.0,1.0,6.63057e-08,0.6980952732000409,0.677389722380546,0.9989697674119054,0.9933071490757153,0.1
2,0,1.0,1.0,0.18333333333333332,1.0,0.0,0.0,1.0,0.101996884,0.02296275030430238,0.6883385363611105,0.9949203724076301,0.9933071490757153,0.1
3,0,1.0,1.0,0.31666666666666665,1.0,0.0,1.0,1.0,5.204584e-07,0.004914120350375064,0.5737977618729164,0.995089026466219,0.9933071490757153,0.1
4,0,1.0,1.0,0.18333333333333332,1.0,0.0,1.0,1.0,1.002682e-14,0.00477054272955691,0.6797604534633287,0.997773604373335,0.9933071490757153,0.1
5,0,1.0,1.0,0.25,1.0,0.0,1.0,1.0,1.9297019e-08,0.0037345791905835667,0.625930954373286,0.9976896137688731,0.9933071490757153,0.1
6,0,1.0,1.0,0.21666666666666667,1.0,0.0,1.0,1.0,9.443865e-11,0.0038140056634771735,0.6556180180803098,0.9990053344884574,0.9933071490757153,0.1
7,0,1.0,1.0,0.26666666666666666,1.0,0.0,1.0,1.0,1.2128203e-07,0.0031610735079779114,0.6076860475852646,0.9938498234649357,0.9933071490757153,0.1
8,0,1.0,1.0,0.23333333333333334,1.0,0.0,1.0,1.0,6.0320206e-13,0.004382980037130664,0.6569210802023562,0.9992228857414609,0.9933071490757153,0.1
9,0,1.0,1.0,0.35,1.0,0.0,1.0,1.0,4.3131754e-10,0.0043499339406912075,0.5436641736362265,0.9999629775814081,0.9933071490757153,0.1
10,0,1.0,1.0,0.3,1.0,0.0,1.0,1.0,2.9420555e-09,0.004142952358342166,0.5811082673199389,0.9975517672615839,0.9933071490757153,0.1
11,0,1.0,1.0,0.2833333333333333,1.0,0.0,1.0,1.0,1.0130706e-10,0.0038777353719515687,0.6023716940391688,0.9210911024844174,0.9933071490757153,0.1
12,0,1.0,1.0,0.21666666666666667,1.0,0.0,1.0,1.0,5.0328166e-12,0.005559869677041445,0.6554532106993188,0.9971366053115113,0.9933071490757153,0.1
13,0,1.0,1.0,0.21666666666666667,1.0,0.0,1.0,1.0,1.5228636e-06,0.004587694885394117,0.6516783003029869,0.9944773913507834,0.9933071490757153,0.1
14,0,1.0,1.0,0.23333333333333334,1.0,0.0,1.0,1.0,0.00046512013,0.0035587307090023733,0.6384248782712595,0.9962567110645182,0.9933071490757153,0.1
