win_idx,label,acc_v,acc_m,acc_u,acc_mv,acc_ds_eq,acc_ds_static,acc_ours,P_v,P_m,P_u,w_v,w_m,w_u
0,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,4.369472e-18,0.9996678434245982,0.017983599099547633,0.1,0.9933071490757153,0.9890130573694068
1,0,1.0,0.5666666666666667,1.0,1.0,0.0,1.0,1.0,4.225009e-06,0.4714969692695185,0.017999777609842133,0.12108155502768798,0.9933071490757153,0.9890130573694068
2,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9787129e-07,0.008929749375242357,0.017980979121394392,0.1,0.9933071490757153,0.9890130573694068
3,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.1735937e-16,0.004285624739063241,0.017994153186201463,0.1,0.9933071490757153,0.9890130573694068
4,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.2179432e-09,0.004685776277119466,0.0180109061957665,0.1,0.9933071490757153,0.9890130573694068
5,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00026292077,0.004321280884984719,0.018005712824834454,0.11095806203175838,0.9933071490757153,0.9890130573694068
6,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4375208e-13,0.004204595575995429,0.018015482250310706,0.12643276580665375,0.9933071490757153,0.9890130573694068
7,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.9198036e-11,0.004139607667010458,0.018032861524962716,0.1,0.9933071490757153,0.9890130573694068
8,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00075956027,0.0031602032248876665,0.01796670669012481,0.16302615022299138,0.9933071490757153,0.9890130573694068
9,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.9040036e-09,0.004123076890874737,0.018003781775759255,0.9814297899247243,0.9933071490757153,0.9890130573694068
10,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.806226e-10,0.0040363183545375865,0.01798663003310763,0.16417297117126511,0.9933071490757153,0.9890130573694068
11,0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.8785332,0.004736537947332956,0.017943840566480348,0.1,0.9933071490757153,0.9890130573694068
