win_idx,label,acc_v,acc_m,acc_u,acc_mv,acc_ds_eq,acc_ds_static,acc_ours,P_v,P_m,P_u,w_v,w_m,w_u
0,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.3183351e-14,0.9491237032322993,0.01796581024630993,0.19036576181169357,0.9525741268224334,0.9890130573694068
1,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,6.5264057e-06,0.9994313568720329,0.01797666210374031,0.25899484655910254,0.9525741268224334,0.9890130573694068
2,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.013915532,0.9985700523199668,0.018021843260644963,0.12636026383714605,0.9525741268224334,0.9890130573694068
3,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.1254101e-10,0.996629918721098,0.01798866471891475,0.13396954590969648,0.9525741268224334,0.9890130573694068
4,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,3.9245108e-07,0.9970464905544281,0.018015516021363472,0.1715336842224797,0.9525741268224334,0.9890130573694068
5,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0928706e-08,0.9949779519981071,0.017929582248290835,0.2138032281339085,0.9525741268224334,0.9890130573694068
6,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,4.8204635e-07,0.9982611356857155,0.01797589314929137,0.26764537066177024,0.9525741268224334,0.9890130573694068
7,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0450789e-11,0.99587627500826,0.017976414180048923,0.150916888689795,0.9525741268224334,0.9890130573694068
8,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,4.096026e-05,0.9956720533375074,0.018040347930449722,0.35220018520369095,0.9525741268224334,0.9890130573694068
9,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.390369e-09,0.9955277982697908,0.018035062236046787,0.995177265162012,0.9525741268224334,0.9890130573694068
10,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,7.001913e-09,0.99851815479504,0.018002537180086587,0.2965720307467939,0.9525741268224334,0.9890130573694068
11,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.9971189830491709,0.017965658001507977,0.1,0.9525741268224334,0.9890130573694068
12,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,9.9833065e-05,0.9978661851192229,0.018032617990943692,0.22109301246092009,0.9525741268224334,0.9890130573694068
13,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.3252744e-06,0.9962923601860249,0.01799875179037157,0.1333904242016301,0.9525741268224334,0.9890130573694068
14,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0032946875,0.9958825661155147,0.017974814836850306,0.1701125453379932,0.9525741268224334,0.9890130573694068
15,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.9963267888257223,0.01801382210612951,0.1,0.9525741268224334,0.9890130573694068
16,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.30148548,0.9969547617571753,0.017976081978576582,0.2834258393885648,0.9525741268224334,0.9890130573694068
17,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.6150618e-09,0.9967770989794169,0.018050453422401844,0.15675360789784248,0.9525741268224334,0.9890130573694068
18,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.11715195,0.9950104350043714,0.017989501681287236,0.1,0.9525741268224334,0.9890130573694068
19,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,3.1935905e-08,0.9950027278693221,0.0179426520287906,0.35969960813053287,0.9525741268224334,0.9890130573694068
20,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,6.9585525e-07,0.997299581214102,0.018001607893823487,0.2526004973023015,0.9525741268224334,0.9890130573694068
21,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.9971476951053309,0.017950620306108635,0.1,0.9525741268224334,0.9890130573694068
22,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0063146846,0.9962635081402856,0.01797609995735555,0.12925661420844997,0.9525741268224334,0.9890130573694068
23,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.2066521e-10,0.9961769131159347,0.017972174257153428,0.939788595961827,0.9525741268224334,0.9890130573694068
24,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.1729469e-07,0.9975349702504299,0.017993033516351252,0.259175239892368,0.9525741268224334,0.9890130573694068
25,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.025413955,0.9970924919606915,0.017955195540073094,0.21481111933112196,0.9525741268224334,0.9890130573694068
26,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0367063e-08,0.9970472641173436,0.017960979518848827,0.4439136511718502,0.9525741268224334,0.9890130573694068
27,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.9953925586248128,0.017996462823980826,0.1,0.9525741268224334,0.9890130573694068
28,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0367063e-08,0.9981639812241553,0.017969735508870325,0.4439136511718502,0.9525741268224334,0.9890130573694068
29,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,3.037502e-09,0.9895661275530758,0.01801240975508408,0.1,0.9525741268224334,0.9890130573694068
30,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,7.071255e-14,0.9973139142370138,0.01800991234460332,0.9986096562476681,0.9525741268224334,0.9890130573694068
31,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.011465534,0.9964494486265586,0.017966763074679773,0.1,0.9525741268224334,0.9890130573694068
32,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.3671706e-09,0.9959640465123099,0.018016146006862712,0.1,0.9525741268224334,0.9890130573694068
33,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.9969893949281127,0.017990884154933058,0.1,0.9525741268224334,0.9890130573694068
34,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.5957105e-17,0.9979538159268421,0.017974663825352385,0.1,0.9525741268224334,0.9890130573694068
35,0,1.0,0.23333333333333334,1.0,1.0,0.0,0.0,0.0,1.5748764e-17,0.9989461422240286,0.23767818630133536,0.1,0.9525741268224334,0.9890130573694068
36,1,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0011557593,0.999416649543223,0.9596801175189583,0.1,0.9525741268224334,0.9890130573694068
37,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999919,0.9995023551824028,0.959611654636955,0.7409934440856922,0.9525741268224334,0.9890130573694068
38,1,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.6123146e-11,0.9998210734238061,0.9596048392820792,0.1,0.9525741268224334,0.9890130573694068
39,1,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.3677275e-11,0.9974115812192906,0.9597128525365203,0.1,0.9525741268224334,0.9890130573694068
40,1,0.0,1.0,1.0,1.0,0.0,0.0,1.0,5.405236e-08,0.9996398903963105,0.9596010679280431,0.9222013807325976,0.9525741268224334,0.9890130573694068
41,1,0.0,1.0,1.0,1.0,0.0,0.0,1.0,4.77657e-11,0.9981855151443905,0.9596027173377063,0.1,0.9525741268224334,0.9890130573694068
42,1,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.433099e-05,0.9993192190747732,0.9597628210573069,0.19235006285810632,0.9525741268224334,0.9890130573694068
43,1,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0903155,0.9988273993294219,0.959785176011783,0.3700030530472775,0.9525741268224334,0.9890130573694068
44,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9991642,0.9997163150532802,0.9596845224337446,0.913108161940057,0.9525741268224334,0.9890130573694068
45,1,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.4410857e-11,0.9990126053724727,0.9596557027935354,0.17255688823687645,0.9525741268224334,0.9890130573694068
46,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.97199553,0.998594270676012,0.9596582647835231,0.38262189062097346,0.9525741268224334,0.9890130573694068
47,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9997353214076197,0.9597097468652259,0.9356203240308668,0.9525741268224334,0.9890130573694068
48,1,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.7821687e-08,0.9995101294768981,0.9597268368874027,0.48217265978625407,0.9525741268224334,0.9890130573694068
49,1,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.00014888577,0.9982005051564219,0.9597166781895542,0.821126197328325,0.9525741268224334,0.9890130573694068
50,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999558,0.9993278080656041,0.9596351064347963,0.1356424254939486,0.9525741268224334,0.9890130573694068
51,1,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.7592843e-15,0.9992773617176155,0.959677758298056,0.1,0.9525741268224334,0.9890130573694068
52,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99870193,0.9961307309097142,0.9597301293661668,0.21042055580707136,0.9525741268224334,0.9890130573694068
53,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9981906886171141,0.9597655709356114,0.9728477728544321,0.9525741268224334,0.9890130573694068
54,1,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.9160705e-05,0.9941946360810994,0.9597682696625363,0.1,0.9525741268224334,0.9890130573694068
55,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999,0.9984292575615807,0.9596536500728513,0.9251645927175,0.9525741268224334,0.9890130573694068
56,1,0.0,1.0,1.0,1.0,0.0,0.0,1.0,9.594866e-12,0.9996490157899397,0.9596444304628879,0.17822310433545366,0.9525741268224334,0.9890130573694068
57,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996308,0.996958977749468,0.9596775283486426,0.908976512044179,0.9525741268224334,0.9890130573694068
58,1,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.010477611,0.9994430666368994,0.9597095689544556,0.10008600845579162,0.9525741268224334,0.9890130573694068
59,1,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.005354708,0.9994514341592505,0.9596917661137779,0.7456080200857192,0.9525741268224334,0.9890130573694068
60,1,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.9163646e-05,0.9984983641847882,0.9596288228934955,0.7021116741553022,0.9525741268224334,0.9890130573694068
61,1,0.0,1.0,1.0,1.0,0.0,0.0,1.0,5.705567e-10,0.9995674219981259,0.9597369616180986,0.4121549179379842,0.9525741268224334,0.9890130573694068
62,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9988485228664314,0.9595794129616323,0.1,0.9525741268224334,0.9890130573694068
63,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9985343,0.9989308382567545,0.9596092555150638,0.9394338509809449,0.9525741268224334,0.9890130573694068
