win_idx,label,acc_v,acc_m,acc_u,acc_mv,acc_ds_eq,acc_ds_static,acc_ours,P_v,P_m,P_u,w_v,w_m,w_u
0,0,1.0,0.0,0.7833333333333333,1.0,0.0,0.0,0.0,1.5364675e-10,0.9999999999137992,0.19655387383499603,0.35259989027077004,0.9820137900379085,0.3775406687981454
1,0,1.0,0.016666666666666666,0.75,1.0,0.0,0.0,0.0,2.7626329e-05,0.9880349205949746,0.20726731478503943,0.47595462841433817,0.9820137900379085,0.3775406687981454
2,0,1.0,0.03333333333333333,0.6833333333333333,1.0,0.0,0.0,0.0,0.030698394,0.9113088797695102,0.2660128319008984,0.21595997506685738,0.9820137900379085,0.3775406687981454
3,0,1.0,0.08333333333333333,0.7166666666666667,1.0,0.0,0.0,0.0,1.4214578e-06,0.8335022315943942,0.23778722409484984,0.22974129422328124,0.9820137900379085,0.3775406687981454
4,0,1.0,0.16666666666666666,0.6333333333333333,1.0,0.0,0.0,0.0,2.1276865e-08,0.753088908206419,0.30151273573358417,0.3087153388529844,0.9820137900379085,0.3775406687981454
5,0,1.0,0.11666666666666667,0.7166666666666667,1.0,0.0,0.0,0.0,3.3615801e-09,0.78520228517139,0.244351001015868,0.377482211944314,0.9820137900379085,0.3775406687981454
6,0,1.0,0.18333333333333332,0.5333333333333333,1.0,0.0,0.0,0.0,5.00453e-06,0.7514874656456333,0.36883900924193824,0.4861502896638473,0.9820137900379085,0.3775406687981454
7,0,1.0,0.08333333333333333,0.6,1.0,0.0,0.0,0.0,3.6367112e-09,0.8348159817530488,0.3077827008403424,0.25039332890991317,0.9820137900379085,0.3775406687981454
8,0,1.0,0.25,0.6666666666666666,1.0,0.0,0.0,1.0,2.8796281e-05,0.6738262064071601,0.26521043453758075,0.5956538902825546,0.9820137900379085,0.3775406687981454
9,0,1.0,0.18333333333333332,0.75,1.0,0.0,0.0,1.0,5.1437694e-09,0.7198269158414273,0.21952055637803022,0.9981546838750985,0.9820137900379085,0.3775406687981454
10,0,1.0,0.21666666666666667,0.7166666666666667,1.0,0.0,0.0,0.0,1.7728411e-07,0.7364195928736768,0.23318404306991553,0.4724377283352083,0.9820137900379085,0.3775406687981454
11,0,1.0,0.18333333333333332,0.7166666666666667,1.0,0.0,0.0,0.0,0.015114606,0.7748638197300525,0.23703029873353154,0.1,0.9820137900379085,0.3775406687981454
12,0,1.0,0.13333333333333333,0.8,1.0,0.0,0.0,0.0,0.0001539057,0.7713261025198536,0.19860376330754811,0.37256884291784326,0.9820137900379085,0.3775406687981454
13,0,1.0,0.2,0.75,1.0,0.0,0.0,0.0,0.0002764577,0.7263986509799291,0.21425659721702525,0.2301426103893533,0.9820137900379085,0.3775406687981454
14,0,1.0,0.15,0.75,1.0,0.0,0.0,0.0,0.0811585,0.7530237928191497,0.21760098039280792,0.2935840707988522,0.9820137900379085,0.3775406687981454
15,0,1.0,0.21666666666666667,0.8,1.0,0.0,0.0,0.0,7.130225e-10,0.705899747411939,0.20735400977253482,0.1,0.9820137900379085,0.3775406687981454
16,0,1.0,0.18333333333333332,0.8333333333333334,1.0,0.0,0.0,0.0,0.4079376,0.7305789997431668,0.15463280802933255,0.4241623911654031,0.9820137900379085,0.3775406687981454
17,0,1.0,0.21666666666666667,0.8833333333333333,1.0,0.0,0.0,0.0,2.3863172e-06,0.732965931673786,0.12747078403344386,0.28958430808182556,0.9820137900379085,0.3775406687981454
18,0,1.0,0.16666666666666666,0.7666666666666667,1.0,0.0,0.0,0.0,8.512444e-15,0.7550735847482191,0.21552874124771257,0.1,0.9820137900379085,0.3775406687981454
19,0,1.0,0.1,0.6666666666666666,1.0,0.0,0.0,0.0,1.2855393e-16,0.7861490807877426,0.29203211193718254,0.6068489763204095,0.9820137900379085,0.3775406687981454
20,0,1.0,0.05,0.6666666666666666,1.0,0.0,0.0,0.0,2.2745632e-09,0.8036688555566699,0.2739317789755928,0.4479922340954125,0.9820137900379085,0.3775406687981454
21,0,0.0,0.1,0.6666666666666666,0.0,0.0,0.0,0.0,0.9998914,0.7850098940101887,0.27285995295633864,0.1,0.9820137900379085,0.3775406687981454
22,0,1.0,0.11666666666666667,0.75,1.0,0.0,0.0,0.0,0.0019498431,0.8288336580567577,0.20831651719909536,0.22032606168495303,0.9820137900379085,0.3775406687981454
23,0,1.0,0.08333333333333333,0.75,1.0,0.0,0.0,1.0,9.522486e-12,0.8515853172713063,0.2276484730903407,0.9785802016682523,0.9820137900379085,0.3775406687981454
24,0,1.0,0.11666666666666667,0.7666666666666667,1.0,0.0,0.0,0.0,1.9203452e-07,0.7848661461563944,0.20057540743996433,0.47513446691024325,0.9820137900379085,0.3775406687981454
