win_idx,label,acc_v,acc_m,acc_u,acc_mv,acc_ds_eq,acc_ds_static,acc_ours,P_v,P_m,P_u,w_v,w_m,w_u
0,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.2862873e-11,0.9999999441664944,0.01801616211983103,0.9981243980711986,0.9933071490757153,0.9890130573694068
1,0,1.0,0.5666666666666667,1.0,1.0,1.0,1.0,1.0,6.63057e-08,0.43260353663307616,0.018013522531264245,0.9989697674119054,0.9933071490757153,0.9890130573694068
2,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.101996884,0.013729958685023885,0.017965724751598054,0.9949203724076301,0.9933071490757153,0.9890130573694068
3,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.204584e-07,0.00491856550616961,0.017981239601519254,0.995089026466219,0.9933071490757153,0.9890130573694068
4,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.002682e-14,0.004396092033013028,0.018008842001160295,0.997773604373335,0.9933071490757153,0.9890130573694068
5,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9297019e-08,0.0034798110955506457,0.0179800625159643,0.9976896137688731,0.9933071490757153,0.9890130573694068
6,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.443865e-11,0.0043770289703457515,0.018006870154549794,0.9990053344884574,0.9933071490757153,0.9890130573694068
7,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2128203e-07,0.004653408761472311,0.01799829306764588,0.9938498234649357,0.9933071490757153,0.9890130573694068
8,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0320206e-13,0.004126510265747087,0.01798651443765255,0.9992228857414609,0.9933071490757153,0.9890130573694068
9,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.3131754e-10,0.0032393214338047806,0.017979526473657484,0.9999629775814081,0.9933071490757153,0.9890130573694068
10,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.9420555e-09,0.003955235481042147,0.01796636934865341,0.9975517672615839,0.9933071490757153,0.9890130573694068
11,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0130706e-10,0.004672064141531024,0.017954302125332337,0.9210911024844174,0.9933071490757153,0.9890130573694068
12,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0328166e-12,0.005139412869019458,0.017940949161874185,0.9971366053115113,0.9933071490757153,0.9890130573694068
13,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5228636e-06,0.004101733625817728,0.017989412057468367,0.9944773913507834,0.9933071490757153,0.9890130573694068
14,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00046512013,0.0042195876937423235,0.018008158723290202,0.9962567110645182,0.9933071490757153,0.9890130573694068
15,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.4379879e-05,0.003486564422712715,0.018049306981168616,0.863349830276401,0.9933071490757153,0.9890130573694068
16,0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.9470502,0.00686731987857432,0.01800055324878338,0.9969701184351536,0.9933071490757153,0.9890130573694068
17,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5845124e-09,0.004019871255131575,0.017965178691030113,0.9977643406632561,0.9933071490757153,0.9890130573694068
18,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.123883e-12,0.003733508518719204,0.01797759256003054,0.9384416007177884,0.9933071490757153,0.9890130573694068
19,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.930678e-13,0.005860558857733503,0.01803040380252789,0.9992624191965659,0.9933071490757153,0.9890130573694068
20,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0287807e-11,0.005572401514134945,0.017997176926148526,0.9987269915114377,0.9933071490757153,0.9890130573694068
21,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.17858e-11,0.004824598187989958,0.018001324359900088,0.6124602581392218,0.9933071490757153,0.9890130573694068
22,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0009685895,0.010896718557858886,0.017947818114617396,0.9940552882031537,0.9933071490757153,0.9890130573694068
23,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.056608e-11,0.004904373208273623,0.017942467917632047,0.9998727171931,0.9933071490757153,0.9890130573694068
24,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.209144e-11,0.00452797382403155,0.018061527096558543,0.9989851702585082,0.9933071490757153,0.9890130573694068
25,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0007418377,0.00364405980950149,0.018001964511755373,0.9979096703880043,0.9933071490757153,0.9890130573694068
26,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4350312e-12,0.004761246028718578,0.01800219435090466,0.9995000491186564,0.9933071490757153,0.9890130573694068
27,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.574262e-14,0.00598130074103147,0.017994119859895553,0.8686148210154644,0.9933071490757153,0.9890130573694068
28,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4350312e-12,0.004674358560605509,0.017916226970738428,0.9995000491186564,0.9933071490757153,0.9890130573694068
29,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.380884e-08,0.004532403923997618,0.01796999135024058,0.9886473111650002,0.9933071490757153,0.9890130573694068
30,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.1385766e-13,0.003688791811226683,0.017982253935607033,0.9999645322527106,0.9933071490757153,0.9890130573694068
31,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.000121736295,0.004751663363567361,0.017918525133232922,0.9417203491157764,0.9933071490757153,0.9890130573694068
32,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.4541138e-06,0.004998434191281099,0.018038793858300102,0.9561866473815563,0.9933071490757153,0.9890130573694068
33,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5808145e-05,0.004684256722974842,0.017977020625417964,0.8402784878844853,0.9933071490757153,0.9890130573694068
34,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.100475e-07,0.005189567223468752,0.017940419160397646,0.9787355161457602,0.9933071490757153,0.9890130573694068
35,0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0330953e-13,0.23711790139680566,0.24281802953010528,0.9944626925641986,0.9933071490757153,0.9890130573694068
36,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99999999999997,0.9814760463761255,0.9409100867230761,0.9933071490757153,0.9890130573694068
37,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99999999999997,0.9814139604525075,0.9981522710939138,0.9933071490757153,0.9890130573694068
38,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99999999999997,0.9814585803617336,0.8974429012862986,0.9933071490757153,0.9890130573694068
39,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99999999999997,0.9814038397495701,0.9072925059983022,0.9933071490757153,0.9890130573694068
40,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99999845,0.99999999999997,0.9814308312617517,0.9990832502990729,0.9933071490757153,0.9890130573694068
41,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99999999999997,0.9814717829222642,0.9503783446684738,0.9933071490757153,0.9890130573694068
42,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99956864,0.99999999999997,0.9814205605896582,0.9800274578894133,0.9933071490757153,0.9890130573694068
43,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9866621,0.99999999999997,0.9813858410151931,0.996356961904783,0.9933071490757153,0.9890130573694068
44,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9344753,0.99999999999997,0.981426311089195,0.9994521146853734,0.9933071490757153,0.9890130573694068
45,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99999999999997,0.9814079493356093,0.9762129978175753,0.9933071490757153,0.9890130573694068
